2017-10-18 23:03:42,231 [main] INFO  myLogger - B40K,39442,529,2,8.461,74.560,2.309,5.332,62,77
2017-10-18 23:04:09,801 [main] INFO  myLogger - B40K,39442,1024,2,7.379,38.518,2.841,8.070,10,41
2017-10-18 23:04:42,099 [main] INFO  myLogger - B40K,39442,1520,2,9.187,25.949,0.786,0.617,24,28
2017-10-18 23:05:17,239 [main] INFO  myLogger - B40K,39442,1979,2,9.200,19.930,0.855,0.731,15,22
2017-10-18 23:06:01,792 [main] INFO  myLogger - B40K,39442,2500,2,12.618,15.777,1.664,2.770,5,18
2017-10-18 23:06:54,605 [main] INFO  myLogger - B40K,39442,3077,2,12.663,12.818,1.552,2.409,2,15
2017-10-18 23:07:17,321 [main] INFO  myLogger - B40K,39442,529,8,6.475,74.560,2.275,5.177,62,77
2017-10-18 23:07:43,968 [main] INFO  myLogger - B40K,39442,1024,8,7.550,38.518,3.002,9.013,9,41
2017-10-18 23:08:13,320 [main] INFO  myLogger - B40K,39442,1520,8,9.420,25.949,0.883,0.780,23,28
2017-10-18 23:08:45,835 [main] INFO  myLogger - B40K,39442,1979,8,11.029,19.930,0.938,0.879,14,22
2017-10-18 23:09:21,865 [main] INFO  myLogger - B40K,39442,2500,8,10.026,15.777,1.650,2.721,5,18
2017-10-18 23:10:01,546 [main] INFO  myLogger - B40K,39442,3077,8,11.724,12.818,1.604,2.574,2,15
2017-10-18 23:10:29,397 [main] INFO  myLogger - B40K,39442,529,14,7.506,74.560,2.394,5.732,61,77
2017-10-18 23:10:56,784 [main] INFO  myLogger - B40K,39442,1024,14,9.407,38.518,2.984,8.906,9,41
2017-10-18 23:11:26,500 [main] INFO  myLogger - B40K,39442,1520,14,9.766,25.949,0.802,0.643,23,28
2017-10-18 23:11:58,328 [main] INFO  myLogger - B40K,39442,1979,14,10.615,19.930,0.892,0.796,14,22
2017-10-18 23:12:32,966 [main] INFO  myLogger - B40K,39442,2500,14,8.839,15.777,1.711,2.926,5,18
