"         B40K","  50.0","    14","  99.23","  150902","    301804","         1544","         25"
"         B60K","  10.0","    21","  40.08","   41209","     82418","        10345","       1190"
"         B60K","  20.0","    21","  43.65","   84560","    169120","        10472","        544"
"         B60K","  30.0","    21","  48.66","  126495","    252990","        10103","        303"
"         B60K","  40.0","    21","  81.01","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 105.95","  213650","    427300","         1544","         25"
"         B60K","  10.0","    21","  42.22","   41209","     82418","        10345","       1190"
"         B60K","  20.0","    21","  44.16","   84560","    169120","        10472","        544"
"         B60K","  30.0","    21","  47.45","  126495","    252990","        10103","        303"
"         B60K","  40.0","    21","  82.30","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 103.05","  213650","    427300","         1544","         25"
"         B80K","  10.0","    28","  46.24","   53959","    107918","        14349","       1482"
"         B80K","  20.0","    28","  49.06","  110682","    221364","        15156","        674"
"         B80K","  30.0","    28","  52.95","  165698","    331396","        14487","        393"
"         B80K","  40.0","    28"," 150.14","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28"," 105.67","  282215","    564430","         2886","         67"
"         B80K","  10.0","    28","  47.41","   53959","    107918","        14349","       1482"
"         B80K","  20.0","    28","  61.60","  110682","    221364","        15156","        674"
"         B80K","  30.0","    28","  56.83","  165698","    331396","        14487","        393"
"         B80K","  40.0","    28"," 148.17","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28"," 151.92","  282215","    564430","         2886","         67"
"         B20K","  10.0","     7","  43.73","   12812","     25624","         2459","        371"
"         B20K","  20.0","     7","  46.80","   26058","     52116","         1955","        143"
"         B20K","  30.0","     7","  52.31","   39090","     78180","         1903","        118"
"         B20K","  40.0","     7"," 130.68","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 135.99","   66825","    133650","         1031","         19"
"         B20K","  10.0","     7","  44.78","   12812","     25624","         2459","        371"
"         B20K","  20.0","     7","  46.48","   26058","     52116","         1955","        143"
"         B20K","  30.0","     7","  51.47","   39090","     78180","         1903","        118"
"         B20K","  40.0","     7"," 130.47","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 134.32","   66825","    133650","         1031","         19"
"         B20K","  10.0","     7","  44.13","   12812","     25624","         2459","        371"
"         B20K","  20.0","     7","  47.14","   26058","     52116","         1955","        143"
"         B20K","  30.0","     7","  51.86","   39090","     78180","         1903","        118"
"         B20K","  40.0","     7"," 132.41","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 136.35","   66825","    133650","         1031","         19"
"         B20K","  10.0","     7","  44.00","   12812","     25624","         2459","        371"
"         B20K","  20.0","     7","  47.71","   26058","     52116","         1955","        143"
"         B20K","  30.0","     7","  51.44","   39090","     78180","         1903","        118"
"         B20K","  40.0","     7"," 132.78","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 140.25","   66825","    133650","         1031","         19"
"         B20K","  10.0","     7","  45.18","   12812","     25624","         2459","        371"
"         B20K","  20.0","     7","  45.95","   26058","     52116","         1955","        143"
"         B20K","  30.0","     7","  52.18","   39090","     78180","         1903","        118"
"         B20K","  40.0","     7"," 136.41","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 139.99","   66825","    133650","         1031","         19"
"         B40K","  10.0","    14","  40.91","   29985","     59970","         8523","        937"
"         B40K","  20.0","    14","  46.39","   60743","    121486","         8948","        435"
"         B40K","  30.0","    14","  48.37","   90325","    180650","         9087","        247"
"         B40K","  40.0","    14","  82.29","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14"," 100.14","  150902","    301804","         1544","         25"
"         B40K","  10.0","    14","  40.88","   29985","     59970","         8523","        937"
"         B40K","  20.0","    14","  45.10","   60743","    121486","         8948","        435"
"         B40K","  30.0","    14","  47.26","   90325","    180650","         9087","        247"
"         B40K","  40.0","    14","  80.34","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14"," 104.00","  150902","    301804","         1544","         25"
"         B40K","  10.0","    14","  40.41","   29985","     59970","         8523","        937"
