Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B60K,10.0,7,10,54.44,15905,31810,50,5
B60K,20.0,7,10,58.97,36979,73958,537,47
B60K,30.0,7,10,61.82,61034,122068,1599,129
B60K,10.0,7,10,54.03,15905,31810,50,5
B60K,20.0,7,10,58.66,36979,73958,537,47
B60K,30.0,7,10,63.00,61034,122068,1599,129
B60K,10.0,7,10,54.57,15905,31810,50,5
B60K,20.0,7,10,58.89,36979,73958,537,47
B60K,30.0,7,10,62.36,61034,122068,1599,129
B120K,10.0,14,10,46.50,31810,63620,100,10
B120K,20.0,14,10,49.93,73958,147916,1074,94
B120K,30.0,14,10,53.53,122068,244136,3198,258
B120K,10.0,14,10,44.83,31810,63620,100,10
B120K,20.0,14,10,49.56,73958,147916,1074,94
B120K,30.0,14,10,53.72,122068,244136,3198,258
B120K,10.0,14,10,45.44,31810,63620,100,10
B120K,20.0,14,10,50.36,73958,147916,1074,94
B120K,30.0,14,10,53.90,122068,244136,3198,258
B180K,10.0,21,10,47.04,47715,95430,150,15
B180K,20.0,21,10,50.79,110937,221874,1611,141
B180K,30.0,21,10,54.20,183102,366204,4797,387
B180K,10.0,21,10,47.50,47715,95430,150,15
B180K,20.0,21,10,52.49,110937,221874,1611,141
B180K,30.0,21,10,54.09,183102,366204,4797,387
B180K,10.0,21,10,48.26,47715,95430,150,15
B180K,20.0,21,10,51.34,110937,221874,1611,141
B180K,30.0,21,10,54.39,183102,366204,4797,387
B240K,10.0,35,10,49.60,63620,127240,200,20
B240K,20.0,35,10,53.52,147916,295832,2148,188
B240K,30.0,35,10,56.55,244136,488272,6396,516
B240K,10.0,35,10,50.07,63620,127240,200,20
B240K,20.0,35,10,54.50,147916,295832,2148,188
B240K,30.0,35,10,57.43,244136,488272,6396,516
B240K,10.0,35,10,49.97,63620,127240,200,20
B240K,20.0,35,10,55.51,147916,295832,2148,188
B240K,30.0,35,10,57.82,244136,488272,6396,516
