"PBFE-SQL" 110 "60K" 3657074 34.069
"PBFE-SQL" 120 "60K" 4088256 34.466
"PBFE-SQL" 130 "60K" 4534878 35.248
"PBFE-SQL" 140 "60K" 4998506 37.987
"PBFE-SQL" 150 "60K" 5480314 40.008
"PBFE-SQL" 160 "60K" 5983946 38.874
"PBFE-SQL" 170 "60K" 6501076 43.152
"PBFE-SQL" 180 "60K" 7033626 45.49
"PBFE-SQL" 190 "60K" 7578608 46.993
"PBFE-SQL" 200 "60K" 8136342 49.114
"PBFE-SQL" 10 "70K" 131910 19.833
"PBFE-SQL" 20 "70K" 447600 21.326
"PBFE-SQL" 30 "70K" 859128 22.465
"PBFE-SQL" 40 "70K" 1317804 23.875
"PBFE-SQL" 50 "70K" 1798156 24.694
"PBFE-SQL" 60 "70K" 2293316 27.538
"PBFE-SQL" 70 "70K" 2797636 29.579
"PBFE-SQL" 80 "70K" 3314508 31.696
"PBFE-SQL" 90 "70K" 3849360 34.295
"PBFE-SQL" 100 "70K" 4400552 35.028
"PBFE-SQL" 110 "70K" 4968516 36.535
"PBFE-SQL" 120 "70K" 5555174 37.829
"PBFE-SQL" 130 "70K" 6163516 41.385
"PBFE-SQL" 140 "70K" 6795314 44.119
"PBFE-SQL" 150 "70K" 7450994 46.214
"PBFE-SQL" 160 "70K" 8135106 47.455
"PBFE-SQL" 170 "70K" 8839152 50.752
"PBFE-SQL" 180 "70K" 9563706 52.383
"PBFE-SQL" 190 "70K" 10305904 56.21
"PBFE-SQL" 200 "70K" 11067052 58.651
"PBFE-SQL" 10 "80K" 169464 22.035
"PBFE-SQL" 20 "80K" 575040 22.975
"PBFE-SQL" 30 "80K" 1105400 23.702
"PBFE-SQL" 40 "80K" 1699148 26.063
"PBFE-SQL" 50 "80K" 2321708 27.775
"PBFE-SQL" 60 "80K" 2964096 29.727
"PBFE-SQL" 70 "80K" 3620800 34.783
"PBFE-SQL" 80 "80K" 4293172 35.716
"PBFE-SQL" 90 "80K" 4988384 38.205
"PBFE-SQL" 100 "80K" 5705784 40.69
"PBFE-SQL" 110 "80K" 6444160 43.806
"PBFE-SQL" 120 "80K" 7207104 46.274
"PBFE-SQL" 130 "80K" 7997580 49.298
"PBFE-SQL" 140 "80K" 8818552 51.918
"PBFE-SQL" 150 "80K" 9671534 56.559
"PBFE-SQL" 160 "80K" 10559318 72.095
"PBFE-SQL" 170 "80K" 11473632 61.716
"PBFE-SQL" 180 "80K" 12415368 64.327
"PBFE-SQL" 190 "80K" 13382132 70.538
"PBFE-SQL" 200 "80K" 14374940 71.557
"PBFE-SQL" 10 "90K" 215622 21.557
"PBFE-SQL" 20 "90K" 730700 22.62
"PBFE-SQL" 30 "90K" 1402216 25.342
"PBFE-SQL" 40 "90K" 2152634 27.214
"PBFE-SQL" 50 "90K" 2940824 29.634
"PBFE-SQL" 60 "90K" 3753400 33.476
"PBFE-SQL" 70 "90K" 4582498 35.714
"PBFE-SQL" 80 "90K" 5431776 38.428
"PBFE-SQL" 90 "90K" 6309780 43.449
"PBFE-SQL" 100 "90K" 7216172 45.222
"PBFE-SQL" 110 "90K" 8149214 47.71
"PBFE-SQL" 120 "90K" 9113660 51.899
"PBFE-SQL" 130 "90K" 10113310 55.482
"PBFE-SQL" 140 "90K" 11151166 59.475
"PBFE-SQL" 150 "90K" 12228934 65.314
"PBFE-SQL" 160 "90K" 13352786 67.277
"PBFE-SQL" 170 "90K" 14510342 72.922
"PBFE-SQL" 180 "90K" 15700274 77.556
"PBFE-SQL" 190 "90K" 16921822 77.859
"PBFE-SQL" 200 "90K" 18176050 83.984
"PBFE-SQL" 10 "100K" 265636 22.212
"PBFE-SQL" 20 "100K" 901054 24.468
"PBFE-SQL" 30 "100K" 1729642 27.738
"PBFE-SQL" 40 "100K" 2659236 30.378
"PBFE-SQL" 50 "100K" 3635922 33.015
"PBFE-SQL" 60 "100K" 4643146 36.897
"PBFE-SQL" 70 "100K" 5671762 39.953
"PBFE-SQL" 80 "100K" 6722140 44.858
"PBFE-SQL" 90 "100K" 7805232 49.985
"PBFE-SQL" 100 "100K" 8923262 51.349
"PBFE-SQL" 110 "100K" 10073688 57.081
"PBFE-SQL" 120 "100K" 11262520 62.328
"PBFE-SQL" 130 "100K" 12496948 67.33
"PBFE-SQL" 140 "100K" 13778910 71.796
"PBFE-SQL" 150 "100K" 15107888 72.776
"PBFE-SQL" 160 "100K" 16495564 79.232
"PBFE-SQL" 170 "100K" 17927122 83.357
"PBFE-SQL" 180 "100K" 19397578 90.89
"PBFE-SQL" 190 "100K" 20906782 95.983
"PBFE-SQL" 200 "100K" 22455664 102.703
"PBFE-DF" 10 "10K" 3268 9.909
"PBFE-RDD" 10 "10K" 3268 9.078
"PBFE-DF" 20 "10K" 10840 9.29
"PBFE-RDD" 20 "10K" 10840 9.434
"PBFE-DF" 30 "10K" 20932 9.984
"PBFE-RDD" 30 "10K" 20932 8.531
"PBFE-DF" 40 "10K" 31782 9.701
"PBFE-RDD" 40 "10K" 31782 7.677
"PBFE-DF" 50 "10K" 43322 8.598
"PBFE-RDD" 50 "10K" 43322 7.974
"PBFE-DF" 60 "10K" 55062 8.747
"PBFE-RDD" 60 "10K" 55062 7.971
"PBFE-DF" 70 "10K" 66414 8.912
"PBFE-RDD" 70 "10K" 66414 9.005
"PBFE-DF" 80 "10K" 78006 9.847
"PBFE-RDD" 80 "10K" 78006 8.175
"PBFE-DF" 90 "10K" 90216 10.738
"PBFE-RDD" 90 "10K" 90216 8.53
"PBFE-DF" 100 "10K" 103014 10.061
"PBFE-RDD" 100 "10K" 103014 8.413
"PBFE-DF" 10 "20K" 11006 11.289
"PBFE-RDD" 10 "20K" 11006 8.91
"PBFE-DF" 20 "20K" 36910 10.282
"PBFE-RDD" 20 "20K" 36910 9.588
"PBFE-DF" 30 "20K" 70662 9.463
"PBFE-RDD" 30 "20K" 70662 9.383
"PBFE-DF" 40 "20K" 108002 9.587
"PBFE-RDD" 40 "20K" 108002 9.19
"PBFE-DF" 50 "20K" 147366 10.876
"PBFE-RDD" 50 "20K" 147366 8.913
"PBFE-DF" 60 "20K" 187790 10.151
"PBFE-RDD" 60 "20K" 187790 8.187
"PBFE-DF" 70 "20K" 228146 9.601
"PBFE-RDD" 70 "20K" 228146 11.411
"PBFE-DF" 80 "20K" 269452 12.142
"PBFE-RDD" 80 "20K" 269452 9.322
"PBFE-DF" 90 "20K" 312766 10.89
"PBFE-RDD" 90 "20K" 312766 9.284
"PBFE-DF" 100 "20K" 357672 11.257
"PBFE-RDD" 100 "20K" 357672 9.747
"PBFE-DF" 10 "30K" 25438 11.111
"PBFE-RDD" 10 "30K" 25438 9.498
"PBFE-DF" 20 "30K" 86522 11.357
"PBFE-RDD" 20 "30K" 86522 10.37
"PBFE-DF" 30 "30K" 165444 10.66
"PBFE-RDD" 30 "30K" 165444 10.827
"PBFE-DF" 40 "30K" 253196 11.677
"PBFE-RDD" 40 "30K" 253196 10.218
"PBFE-DF" 50 "30K" 344708 11.207
"PBFE-RDD" 50 "30K" 344708 8.381
"PBFE-DF" 60 "30K" 438408 11.216
"PBFE-RDD" 60 "30K" 438408 10.187
"PBFE-DF" 70 "30K" 532762 11.749
"PBFE-RDD" 70 "30K" 532762 9.765
"PBFE-DF" 80 "30K" 629702 10.407
"PBFE-RDD" 80 "30K" 629702 10.996
"PBFE-DF" 90 "30K" 731026 11.707
"PBFE-RDD" 90 "30K" 731026 8.942
"PBFE-DF" 100 "30K" 835972 10.713
"PBFE-RDD" 100 "30K" 835972 9.31
"PBFE-DF" 10 "40K" 45526 10.49
"PBFE-RDD" 10 "40K" 45526 10.464
"PBFE-DF" 20 "40K" 153766 10.26
"PBFE-RDD" 20 "40K" 153766 10.546
"PBFE-DF" 30 "40K" 294528 11.28
"PBFE-RDD" 30 "40K" 294528 10.008
"PBFE-DF" 40 "40K" 450474 11.464
"PBFE-RDD" 40 "40K" 450474 9.626
"PBFE-DF" 50 "40K" 613174 10.399
"PBFE-RDD" 50 "40K" 613174 10.648
"PBFE-DF" 60 "40K" 779250 10.945
"PBFE-RDD" 60 "40K" 779250 10.246
"PBFE-DF" 70 "40K" 946810 11.361
"PBFE-RDD" 70 "40K" 946810 10.658
"PBFE-DF" 80 "40K" 1118342 11.373
"PBFE-RDD" 80 "40K" 1118342 10.776
"PBFE-DF" 90 "40K" 1296248 12.203
"PBFE-RDD" 90 "40K" 1296248 10.752
"PBFE-DF" 100 "40K" 1480116 10.426
"PBFE-RDD" 100 "40K" 1480116 10.957
"PBFE-DF" 10 "50K" 69852 10.691
"PBFE-RDD" 10 "50K" 69852 10.385
"PBFE-DF" 20 "50K" 236254 9.677
"PBFE-RDD" 20 "50K" 236254 9.64
"PBFE-DF" 30 "50K" 451928 11.882
"PBFE-RDD" 30 "50K" 451928 10.257
"PBFE-DF" 40 "50K" 691346 11.09
"PBFE-RDD" 40 "50K" 691346 10.905
"PBFE-DF" 50 "50K" 940308 11.824
"PBFE-RDD" 50 "50K" 940308 10.92
"PBFE-DF" 60 "50K" 1195384 12.556
"PBFE-RDD" 60 "50K" 1195384 12.18
"PBFE-DF" 70 "50K" 1454658 10.411
"PBFE-RDD" 70 "50K" 1454658 11.336
"PBFE-DF" 80 "50K" 1719684 11.671
"PBFE-RDD" 80 "50K" 1719684 11.688
"PBFE-DF" 90 "50K" 1994990 12.834
"PBFE-RDD" 90 "50K" 1994990 10.35
"PBFE-DF" 100 "50K" 2278696 11.909
"PBFE-RDD" 100 "50K" 2278696 11.236
"PBFE-DF" 10 "60K" 97862 12.65
"PBFE-RDD" 10 "60K" 97862 9.916
"PBFE-DF" 20 "60K" 331558 12.198
"PBFE-RDD" 20 "60K" 331558 10.623
"PBFE-DF" 30 "60K" 635504 11.032
"PBFE-RDD" 30 "60K" 635504 10.311
"PBFE-DF" 40 "60K" 973020 10.742
"PBFE-RDD" 40 "60K" 973020 10.722
"PBFE-DF" 50 "60K" 1326098 10.923
"PBFE-RDD" 50 "60K" 1326098 10.615
"PBFE-DF" 60 "60K" 1689090 12.564
"PBFE-RDD" 60 "60K" 1689090 11.115
"PBFE-DF" 70 "60K" 2059516 10.709
"PBFE-RDD" 70 "60K" 2059516 12.051
"PBFE-DF" 80 "60K" 2439550 11.197
"PBFE-RDD" 80 "60K" 2439550 10.05
"PBFE-DF" 90 "60K" 2832848 10.853
"PBFE-RDD" 90 "60K" 2832848 11.362
"PBFE-DF" 100 "60K" 3239018 11.16
"PBFE-RDD" 100 "60K" 3239018 9.593
"PBFE-DF" 10 "70K" 131910 12.186
"PBFE-RDD" 10 "70K" 131910 11.566
"PBFE-DF" 20 "70K" 447600 12.524
"PBFE-RDD" 20 "70K" 447600 11.577
"PBFE-DF" 30 "70K" 859128 13.197
"PBFE-RDD" 30 "70K" 859128 11.617
"PBFE-DF" 40 "70K" 1317804 11.164
"PBFE-RDD" 40 "70K" 1317804 10.911
"PBFE-DF" 50 "70K" 1798156 13.336
"PBFE-RDD" 50 "70K" 1798156 11.235
"PBFE-DF" 60 "70K" 2293316 11.073
"PBFE-RDD" 60 "70K" 2293316 11.441
"PBFE-DF" 70 "70K" 2797636 11.601
"PBFE-RDD" 70 "70K" 2797636 11.253
"PBFE-DF" 80 "70K" 3314508 13.97
"PBFE-RDD" 80 "70K" 3314508 13.13
"PBFE-DF" 90 "70K" 3849360 13.133
"PBFE-RDD" 90 "70K" 3849360 10.792
"PBFE-DF" 100 "70K" 4400552 13.035
"PBFE-RDD" 100 "70K" 4400552 12.472
"PBFE-DF" 10 "80K" 169464 10.873
"PBFE-RDD" 10 "80K" 169464 10.182
"PBFE-DF" 20 "80K" 575040 10.566
"PBFE-RDD" 20 "80K" 575040 11.611
"PBFE-DF" 30 "80K" 1105400 12.445
"PBFE-RDD" 30 "80K" 1105400 10.485
"PBFE-DF" 40 "80K" 1699148 12.34
"PBFE-RDD" 40 "80K" 1699148 11.466
"PBFE-DF" 50 "80K" 2321708 13.706
"PBFE-RDD" 50 "80K" 2321708 11.338
"PBFE-DF" 60 "80K" 2964096 13.232
"PBFE-RDD" 60 "80K" 2964096 11.883
"PBFE-DF" 70 "80K" 3620800 11.595
"PBFE-RDD" 70 "80K" 3620800 12.106
"PBFE-DF" 80 "80K" 4293172 12.111
"PBFE-RDD" 80 "80K" 4293172 12.891
"PBFE-DF" 90 "80K" 4988384 13.731
"PBFE-RDD" 90 "80K" 4988384 10.927
"PBFE-DF" 100 "80K" 5705784 12.126
"PBFE-RDD" 100 "80K" 5705784 12.661
"PBFE-DF" 10 "90K" 215622 13.567
"PBFE-RDD" 10 "90K" 215622 10.649
"PBFE-DF" 20 "90K" 730700 11.69
"PBFE-RDD" 20 "90K" 730700 10.52
"PBFE-DF" 30 "90K" 1402216 11.52
"PBFE-RDD" 30 "90K" 1402216 13.611
"PBFE-DF" 40 "90K" 2152634 11.707
"PBFE-RDD" 40 "90K" 2152634 11.863
"PBFE-DF" 50 "90K" 2940824 11.565
"PBFE-RDD" 50 "90K" 2940824 11.293
"PBFE-DF" 60 "90K" 3753400 12.955
"PBFE-RDD" 60 "90K" 3753400 11.384
"PBFE-DF" 70 "90K" 4582498 12.039
"PBFE-RDD" 70 "90K" 4582498 11.165
"PBFE-DF" 80 "90K" 5431776 15.308
"PBFE-RDD" 80 "90K" 5431776 12.313
"PBFE-DF" 90 "90K" 6309780 12.952
"PBFE-RDD" 90 "90K" 6309780 12.017
"PBFE-DF" 100 "90K" 7216172 12.868
"PBFE-RDD" 100 "90K" 7216172 13.293
"PBFE-DF" 10 "100K" 265636 11.2
"PBFE-RDD" 10 "100K" 265636 10.884
"PBFE-DF" 20 "100K" 901054 13.552
"PBFE-RDD" 20 "100K" 901054 10.948
"PBFE-DF" 30 "100K" 1729642 14.021
"PBFE-RDD" 30 "100K" 1729642 12.686
"PBFE-DF" 40 "100K" 2659236 11.475
"PBFE-RDD" 40 "100K" 2659236 11.584
"PBFE-DF" 50 "100K" 3635922 13.129
"PBFE-RDD" 50 "100K" 3635922 11.998
"PBFE-DF" 60 "100K" 4643146 13.889
"PBFE-RDD" 60 "100K" 4643146 11.589
"PBFE-DF" 70 "100K" 5671762 12.145
"PBFE-RDD" 70 "100K" 5671762 13.535
"PBFE-DF" 80 "100K" 6722140 12.33
"PBFE-RDD" 80 "100K" 6722140 12.168
"PBFE-DF" 90 "100K" 7805232 12.555
"PBFE-RDD" 90 "100K" 7805232 13.803
"PBFE-DF" 100 "100K" 8923262 13.084
"PBFE-RDD" 100 "100K" 8923262 11.36
"PBFE-DF" 110 "10K" 116104 9.964
"PBFE-RDD" 110 "10K" 116104 8.033
"PBFE-DF" 120 "10K" 129568 8.815
"PBFE-RDD" 120 "10K" 129568 8.873
"PBFE-DF" 130 "10K" 143708 9.417
"PBFE-RDD" 130 "10K" 143708 8.202
"PBFE-DF" 140 "10K" 158364 9.979
"PBFE-RDD" 140 "10K" 158364 8.257
"PBFE-DF" 150 "10K" 173598 9.244
"PBFE-RDD" 150 "10K" 173598 8.359
"PBFE-DF" 160 "10K" 190078 9.935
"PBFE-RDD" 160 "10K" 190078 9.189
"PBFE-DF" 170 "10K" 206772 9.592
"PBFE-RDD" 170 "10K" 206772 8.137
"PBFE-DF" 180 "10K" 223578 10.724
"PBFE-RDD" 180 "10K" 223578 8.34
"PBFE-DF" 190 "10K" 241124 9.388
"PBFE-RDD" 190 "10K" 241124 8.205
"PBFE-DF" 200 "10K" 258756 9.522
