Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,50.53,11241,22482,108,18
B20K,20.0,7,10,57.68,23832,47664,1491,110
B20K,30.0,7,10,58.97,36187,72374,3840,242
B20K,10.0,7,10,51.97,11241,22482,108,18
B20K,20.0,7,10,56.06,23832,47664,1491,110
B20K,30.0,7,10,58.28,36187,72374,3840,242
B20K,10.0,7,10,52.56,11241,22482,108,18
B20K,20.0,7,10,55.50,23832,47664,1491,110
B20K,30.0,7,10,59.28,36187,72374,3840,242
B40K,10.0,14,10,39.42,22482,44964,216,36
B40K,20.0,14,10,43.47,47664,95328,2982,220
B40K,30.0,14,10,46.19,72374,144748,7680,484
B40K,10.0,14,10,38.51,22482,44964,216,36
B40K,20.0,14,10,42.46,47664,95328,2982,220
B40K,30.0,14,10,45.42,72374,144748,7680,484
B40K,10.0,14,10,39.26,22482,44964,216,36
B40K,20.0,14,10,43.89,47664,95328,2982,220
B40K,30.0,14,10,46.44,72374,144748,7680,484
B60K,10.0,21,10,41.35,33723,67446,324,54
B60K,20.0,21,10,46.19,71496,142992,4473,330
B60K,30.0,21,10,47.68,108561,217122,11520,726
B60K,10.0,21,10,40.65,33723,67446,324,54
B60K,20.0,21,10,46.14,71496,142992,4473,330
B60K,30.0,21,10,47.05,108561,217122,11520,726
B60K,10.0,21,10,41.85,33723,67446,324,54
B60K,20.0,21,10,46.62,71496,142992,4473,330
B60K,30.0,21,10,48.20,108561,217122,11520,726
B80K,10.0,35,10,43.38,44964,89928,432,72
B80K,20.0,35,10,46.65,95328,190656,5964,440
B80K,30.0,35,10,48.94,144748,289496,15360,968
B80K,10.0,35,10,41.77,44964,89928,432,72
B80K,20.0,35,10,46.84,95328,190656,5964,440
B80K,30.0,35,10,48.98,144748,289496,15360,968
B80K,10.0,35,10,42.89,44964,89928,432,72
B80K,20.0,35,10,47.57,95328,190656,5964,440
B80K,30.0,35,10,49.57,144748,289496,15360,968
