Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,46.88,11226,22452,111,12
B20K,20.0,7,10,50.41,23819,47638,1524,41
B20K,30.0,7,10,52.43,36174,72348,3889,70
B20K,40.0,7,10,55.85,49403,98806,8256,141
B20K,50.0,7,10,58.44,62752,125504,13078,215
B20K,10.0,7,10,47.25,11226,22452,111,12
B20K,20.0,7,10,50.74,23819,47638,1524,41
B20K,30.0,7,10,53.55,36174,72348,3889,70
B20K,40.0,7,10,55.65,49403,98806,8256,141
B20K,50.0,7,10,59.41,62752,125504,13078,215
B20K,10.0,7,10,48.12,11226,22452,111,12
B20K,20.0,7,10,51.21,23819,47638,1524,41
B20K,30.0,7,10,52.92,36174,72348,3889,70
B20K,40.0,7,10,56.46,49403,98806,8256,141
B20K,50.0,7,10,60.37,62752,125504,13078,215
B40K,10.0,14,10,42.91,22452,44904,222,23
B40K,20.0,14,10,44.85,47638,95276,3048,75
B40K,30.0,14,10,48.38,72348,144696,7778,131
B40K,40.0,14,10,51.13,98806,197612,16512,194
B40K,50.0,14,10,51.80,125504,251008,26156,307
B40K,10.0,14,10,42.24,22452,44904,222,23
B40K,20.0,14,10,44.43,47638,95276,3048,75
B40K,30.0,14,10,47.29,72348,144696,7778,131
B40K,40.0,14,10,51.03,98806,197612,16512,194
B40K,50.0,14,10,52.65,125504,251008,26156,307
B40K,10.0,14,10,43.40,22452,44904,222,23
B40K,20.0,14,10,46.33,47638,95276,3048,75
B40K,30.0,14,10,48.24,72348,144696,7778,131
B40K,40.0,14,10,51.79,98806,197612,16512,194
B40K,50.0,14,10,53.66,125504,251008,26156,307
