Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,66.82,11241,22482,108,18
B20K,20.0,7,10,69.73,23832,47664,1491,110
B20K,30.0,7,10,72.06,36187,72374,3840,242
B20K,10.0,7,10,67.34,11241,22482,108,18
B20K,20.0,7,10,71.90,23832,47664,1491,110
B20K,30.0,7,10,72.81,36187,72374,3840,242
B20K,10.0,7,10,67.06,11241,22482,108,18
B20K,20.0,7,10,69.44,23832,47664,1491,110
B20K,30.0,7,10,73.50,36187,72374,3840,242
B40K,10.0,14,10,38.86,22482,44964,216,36
B40K,20.0,14,10,42.57,47664,95328,2982,220
B40K,30.0,14,10,45.60,72374,144748,7680,484
B40K,10.0,14,10,37.32,22482,44964,216,36
B40K,20.0,14,10,43.21,47664,95328,2982,220
B40K,30.0,14,10,45.05,72374,144748,7680,484
B40K,10.0,14,10,39.58,22482,44964,216,36
B40K,20.0,14,10,42.23,47664,95328,2982,220
B40K,30.0,14,10,45.33,72374,144748,7680,484
B60K,10.0,21,10,43.31,33723,67446,324,54
B60K,20.0,21,10,46.26,71496,142992,4473,330
B60K,30.0,21,10,49.96,108561,217122,11520,726
B60K,10.0,21,10,43.49,33723,67446,324,54
B60K,20.0,21,10,48.40,71496,142992,4473,330
B60K,30.0,21,10,49.25,108561,217122,11520,726
B60K,10.0,21,10,42.78,33723,67446,324,54
B60K,20.0,21,10,47.54,71496,142992,4473,330
B60K,30.0,21,10,50.19,108561,217122,11520,726
B80K,10.0,35,10,45.12,44964,89928,432,72
B80K,20.0,35,10,46.89,95328,190656,5964,440
B80K,30.0,35,10,50.83,144748,289496,15360,968
B80K,10.0,35,10,44.15,44964,89928,432,72
B80K,20.0,35,10,47.44,95328,190656,5964,440
B80K,30.0,35,10,50.23,144748,289496,15360,968
B80K,10.0,35,10,44.65,44964,89928,432,72
B80K,20.0,35,10,47.73,95328,190656,5964,440
B80K,30.0,35,10,53.27,144748,289496,15360,968
