Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,48.44,11241,22482,108,18
B20K,20.0,7,10,53.30,23832,47664,1491,110
B20K,30.0,7,10,55.93,36187,72374,3840,242
B20K,10.0,7,10,49.67,11241,22482,108,18
B20K,20.0,7,10,52.33,23832,47664,1491,110
B20K,30.0,7,10,54.93,36187,72374,3840,242
B20K,10.0,7,10,49.09,11241,22482,108,18
B20K,20.0,7,10,53.11,23832,47664,1491,110
B20K,30.0,7,10,55.09,36187,72374,3840,242
B40K,10.0,14,10,39.65,22482,44964,216,36
B40K,20.0,14,10,43.52,47664,95328,2982,220
B40K,30.0,14,10,45.76,72374,144748,7680,484
B40K,10.0,14,10,38.68,22482,44964,216,36
B40K,20.0,14,10,42.83,47664,95328,2982,220
B40K,30.0,14,10,46.73,72374,144748,7680,484
B40K,10.0,14,10,40.98,22482,44964,216,36
B40K,20.0,14,10,42.46,47664,95328,2982,220
B40K,30.0,14,10,46.37,72374,144748,7680,484
B60K,10.0,21,10,42.50,33723,67446,324,54
B60K,20.0,21,10,47.75,71496,142992,4473,330
B60K,30.0,21,10,49.63,108561,217122,11520,726
B60K,10.0,21,10,41.23,33723,67446,324,54
B60K,20.0,21,10,46.12,71496,142992,4473,330
B60K,30.0,21,10,48.22,108561,217122,11520,726
B60K,10.0,21,10,41.03,33723,67446,324,54
B60K,20.0,21,10,45.84,71496,142992,4473,330
B60K,30.0,21,10,46.87,108561,217122,11520,726
B80K,10.0,35,10,43.56,44964,89928,432,72
B80K,20.0,35,10,49.92,95328,190656,5964,440
B80K,30.0,35,10,51.43,144748,289496,15360,968
B80K,10.0,35,10,41.69,44964,89928,432,72
B80K,20.0,35,10,45.77,95328,190656,5964,440
B80K,30.0,35,10,46.58,144748,289496,15360,968
B80K,10.0,35,10,41.44,44964,89928,432,72
B80K,20.0,35,10,47.00,95328,190656,5964,440
B80K,30.0,35,10,50.63,144748,289496,15360,968
