Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,52.08,11241,22482,108,18
B20K,20.0,7,10,55.84,23832,47664,1491,110
B20K,30.0,7,10,59.65,36187,72374,3840,242
B20K,10.0,7,10,52.55,11241,22482,108,18
B20K,20.0,7,10,55.61,23832,47664,1491,110
B20K,30.0,7,10,58.92,36187,72374,3840,242
B20K,10.0,7,10,51.50,11241,22482,108,18
B20K,20.0,7,10,56.25,23832,47664,1491,110
B20K,30.0,7,10,59.28,36187,72374,3840,242
B40K,10.0,14,10,46.64,22482,44964,216,36
B40K,20.0,14,10,50.42,47664,95328,2982,220
B40K,30.0,14,10,53.43,72374,144748,7680,484
B40K,10.0,14,10,45.80,22482,44964,216,36
B40K,20.0,14,10,50.11,47664,95328,2982,220
B40K,30.0,14,10,53.44,72374,144748,7680,484
B40K,10.0,14,10,46.48,22482,44964,216,36
B40K,20.0,14,10,52.76,47664,95328,2982,220
B40K,30.0,14,10,54.12,72374,144748,7680,484
B60K,10.0,21,10,40.96,33723,67446,324,54
B60K,20.0,21,10,45.50,71496,142992,4473,330
B60K,30.0,21,10,48.25,108561,217122,11520,726
B60K,10.0,21,10,40.52,33723,67446,324,54
B60K,20.0,21,10,44.87,71496,142992,4473,330
B60K,30.0,21,10,49.33,108561,217122,11520,726
B60K,10.0,21,10,41.00,33723,67446,324,54
B60K,20.0,21,10,45.26,71496,142992,4473,330
B60K,30.0,21,10,46.62,108561,217122,11520,726
B80K,10.0,35,10,42.96,44964,89928,432,72
B80K,20.0,35,10,45.66,95328,190656,5964,440
B80K,30.0,35,10,48.83,144748,289496,15360,968
B80K,10.0,35,10,44.17,44964,89928,432,72
B80K,20.0,35,10,46.72,95328,190656,5964,440
B80K,30.0,35,10,48.65,144748,289496,15360,968
B80K,10.0,35,10,43.67,44964,89928,432,72
B80K,20.0,35,10,48.28,95328,190656,5964,440
B80K,30.0,35,10,49.45,144748,289496,15360,968
