53,95,51,0
53,93,54,0
37,80,49,0
84,85,78,0
87,89,78,0
93,97,88,0
171,167,127,0
90,90,50,0
83,93,52,0
84,99,62,0
57,94,59,0
105,45,50,0
52,74,78,0
154,52,49,0
52,61,99,0
130,116,123,0
239,237,242,0
180,190,181,0
134,157,115,0
59,64,79,0
57,70,82,0
149,157,129,0
165,174,160,0
168,175,165,0
175,184,138,0
166,162,124,0
58,41,52,0
91,93,99,0
149,160,149,0
188,191,173,0
48,59,55,0
91,92,79,0
126,113,76,0
122,120,85,0
86,74,54,0
114,77,73,0
105,102,68,0
104,96,62,0
156,118,78,0
160,142,98,0
105,96,71,0
150,121,82,0
129,108,78,0
152,163,123,0
97,73,78,0
122,112,78,0
106,106,93,0
144,144,98,0
35,68,47,0
34,61,43,0
