"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"issue_stage_power_cc2",563561702.1659,572294024.6127,569980390.2597,571518556.1484," total power usage of issue stage_cc2",563561702.1659,572294024.6127,8732322.44679999,3969516.62694242,0.4545774221149
"bpred_bimod.bpred_jr_rate",0.7851,0.7844,0.7843,0.7842," JR address-prediction rate (i.e., JR addr-hits/JRs seen)",0.7842,0.7851,0.000900000000000012,0.000408248290463872,0.453609211626519
"bpred_bimod.addr_hits",20046114,20044458,20044387,20044101," total number of address-predicted hits",20044101,20046114,2013,912.474657182324,0.453290937497429
"fetch_stage_power_cc1",253361969.4579,253327399.1652,253244329.7541,253182426.1981," total power usage of fetch stage_cc1",253182426.1981,253361969.4579,179543.259799987,81147.8720622832,0.451968356554753
"total_regfile_access",214481602,214439244,214392898,214376550," total number accesses of arch. regfile",214376550,214481602,105052,47473.035276179,0.451900347220224
"bpred_bimod.jr_hits",1710391,1708767,1708662,1708376," total number of address-predicted hits for JR's",1708376,1710391,2015,909.795947818337,0.451511636634411
"bpred_bimod.ras_hits.PP",1463020,1461396,1461291,1461005," total number of RAS hits",1461005,1463020,2015,909.795947818337,0.451511636634411
"avg_clock_power_cc2",3.2364,3.438,3.5321,3.5619," avg power usage of clock_cc2",3.2364,3.5619,0.3255,0.146948222173662,0.45145383156271
"avg_clock_power_cc1",5.2341,5.5677,5.7051,5.7526," avg power usage of clock_cc1",5.2341,5.7526,0.5185,0.234039745556177,0.451378487090023
"avg_clock_power_cc3",5.292,5.4652,5.5398,5.5661," avg power usage of clock_cc3",5.292,5.5661,0.2741,0.12348129075559,0.450497230045934
"avg_issue_power_cc3",6.0119,6.265,6.4111,6.4577," average power of issue unit per cycle_cc3",6.0119,6.4577,0.4458,0.200584136544577,0.449941984173568
"total_power_cycle_cc2",1374756662.2463,1390434989.4155,1387606295.9906,1387783169.8078," total power per cycle_cc2",1374756662.2463,1390434989.4155,15678327.1691999,7045553.37019984,0.449381703428209
"total_window_access",599970102,600049626,600028410,600040191," total number accesses of instruction window",599970102,600049626,79524,35723.8099906771,0.449220486779803
"icache_power_cc1",161679335.0043,161658761.5263,161607550.7559,161558445.386," total power usage of icache_cc1",161558445.386,161679335.0043,120889.618299991,54227.7254507592,0.448572228230481
"icache_power_cc2",161679335.0043,161658761.5263,161607550.7559,161558445.386," total power usage of icache_cc2",161558445.386,161679335.0043,120889.618299991,54227.7254507592,0.448572228230481
"fetch_stage_power_cc2",214172496.4714,214151922.9934,214100712.223,214051606.8531," total power usage of fetch stage_cc2",214051606.8531,214172496.4714,120889.618299991,54227.7254507592,0.448572228230481
"avg_total_power_cycle_cc3",13.8282,14.334,14.5892,14.6811," average total power per cycle_cc3",13.8282,14.6811,0.8529,0.382583771872253,0.448568146174525
"max_cycle_power_cc3",35.1428,35.532,35.4361,35.4802," maximum cycle power usage of cc3",35.1428,35.532,0.389199999999995,0.174443197536237,0.448209654512432
"avg_regfile_power_cc3",0.5266,0.5427,0.5423,0.5461," avg power usage of arch. regfile_cc3",0.5266,0.5461,0.0195000000000001,0.00871832361561941,0.447093518749712
"max_cycle_power_cc1",46.8574,47.5251,47.4047,47.3989," maximum cycle power usage of cc1",46.8574,47.5251,0.667700000000004,0.298473766295578,0.447017771896924
"bpred_bimod.ras_rate.PP",0.9628,0.9618,0.9617,0.9615," RAS prediction rate (i.e., RAS hits/used RAS)",0.9615,0.9628,0.00129999999999997,0.000580229839517631,0.446330645782804
"rename_power_cc3",21866242.206,21544656.4636,21380570.5678,21312424.7223," total power usage of rename unit_cc3",21312424.7223,21866242.206,553817.4837,246898.723205362,0.445812439065406
"dispatch_stage_power_cc3",21866242.206,21544656.4636,21380570.5678,21312424.7223," total power usage of dispatch stage_cc3",21312424.7223,21866242.206,553817.4837,246898.723205362,0.445812439065406
"lsq_power_cc3",27154684.8373,26404219.3583,26016496.3576,25854686.7195," total power usage of lsq_cc3",25854686.7195,27154684.8373,1299998.1178,579307.356686729,0.445621688796825
"dcache_power_cc3",239577592.6559,234821560.5964,232369066.532,231343788.4366," total power usage of dcache_cc3",231343788.4366,239577592.6559,8233804.2193,3669003.53474899,0.445602474509761
"alu_power_cc3",459960270.3552,445202332.8429,437642370.9166,434463930.3058," total power usage of alu_cc3",434463930.3058,459960270.3552,25496340.0494,11359715.0381488,0.445542968760968
"bpred_power_cc3",116809850.1233,113273906.9556,111462028.0242,110696614.631," total power usage of bpred unit_cc3",110696614.631,116809850.1233,6113235.4923,2723125.38155649,0.445447486030341
"window_power",357980895.8778,340741191.458,331895162.8499,328158918.5885," total power usage of instruction window",328158918.5885,357980895.8778,29821977.2893,13283914.268164,0.445440426008583
"resultbus_power",373120362.7915,355151569.4953,345931431.1634,342037176.4127," total power usage of resultbus",342037176.4127,373120362.7915,31083186.3788,13845707.7822754,0.445440426008537
"fetch_stage_power",1136809232.0974,1082062581.2761,1053971006.875,1042106136.4003," total power usage of fetch stage",1042106136.4003,1136809232.0974,94703095.6970999,42184587.2916354,0.445440426008452
"regfile_power",580168532.7676,552228678.6402,537892194.5047,531836979.3394," total power usage of arch. regfile",531836979.3394,580168532.7676,48331553.4282001,21528827.7487076,0.44544042600845
"dcache_power",988187180.9648,940597896.113,916178905.7994,905865202.7275," total power usage of dcache",905865202.7275,988187180.9648,82321978.2373,36669537.0558751,0.445440426008375
"alu_power",3076041930.5593,2927905383.8684,2851893632.2736,2819789002.8087," total power usage of alu",2819789002.8087,3076041930.5593,256252927.7506,114145413.303116,0.445440426008355
"clock_power",4238222722.7042,4034117677.2517,3929387397.2449,3885153094.4847," total power usage of clock",3885153094.4847,4238222722.7042,353069628.2195,157271485.604698,0.445440426008334
"sim_cycle",162399738,154578864,150565821,148870856," total simulation time in cycles",148870856,162399738,13528882,6026310.96149645,0.445440426008332
"falu_power",2319237959.7343,2207547706.5136,2150237259.0041,2126031387.6334," total power usage of falu",2126031387.6334,2319237959.7343,193206572.1009,86062017.7842291,0.445440426008304
"bpred_power",734554541.7428,699179740.3658,681028239.7736,673361698.8964," total power usage of bpred unit",673361698.8964,734554541.7428,61192842.8464,27257765.9861529,0.445440426008194
"lsq_power",156420177.6611,148887268.4315,145021985.7721,143389429.4245," total power usage of load/store queue",143389429.4245,156420177.6611,13030748.2366,5804422.04571617,0.445440426008159
"icache_power",402254690.3547,382882840.9103,372942767.1015,368744437.5038," total power usage of icache",368744437.5038,402254690.3547,33510252.8509001,14926821.3055378,0.445440426007914
"rename_power",67877485.5252,64608630.1178,62931316.6474,62222879.7763," total power usage of rename unit",62222879.7763,67877485.5252,5654605.7489,2518789.99369381,0.445440426007383
"dispatch_stage_power",67877485.5252,64608630.1178,62931316.6474,62222879.7763," total power usage of dispatch stage",62222879.7763,67877485.5252,5654605.7489,2518789.99369381,0.445440426007383
"sim_CPI",1.1197,1.0657,1.0381,1.0264," cycles per instruction",1.0264,1.1197,0.0932999999999999,0.0415557757718467,0.445399525957628
"avg_total_power_insn_nofp_nod2",51.5128,49.0158,47.734,47.1903," average total power per insn",47.1903,51.5128,4.3225,1.92504146860096,0.445353723215953
"avg_dcache2_access",0.0433,0.0455,0.0467,0.0472," avg number accesses of dcache2",0.0433,0.0472,0.0039,0.00173661548229115,0.445286021100296
"avg_total_power_cycle_cc1",13.6411,14.5171,14.8399,15.0087," average total power per cycle_cc1",13.6411,15.0087,1.3676,0.608905509911021,0.445236553020635
"avg_rename_power_cc1",0.1526,0.1604,0.1647,0.1665," avg power usage of rename unit_cc1",0.1526,0.1665,0.0139,0.00618735269184918,0.445133287183395
"avg_dispatch_power_cc1",0.1526,0.1604,0.1647,0.1665," average power of dispatch unit per cycle_cc1",0.1526,0.1665,0.0139,0.00618735269184918,0.445133287183395
"regfile_power_cc1",222812941.306,227474415.4072,223393272.8856,224460096.5757," total power usage of arch. regfile_cc1",222812941.306,227474415.4072,4661474.10120001,2074833.34885491,0.445102408339195
"avg_total_power_cycle_cc2",8.4653,8.995,9.2159,9.3221," average total power per cycle_cc2",8.4653,9.3221,0.856800000000002,0.381352674698894,0.44508948961122
"avg_alu_power_cc1",1.8961,1.9908,2.0411,2.0625," avg power usage of alu_cc1",1.8961,2.0625,0.1664,0.0740557166373176,0.445046374022341
"avg_rename_power_cc2",0.1081,0.1136,0.1167,0.118," avg power usage of rename unit_cc2",0.1081,0.118,0.00989999999999999,0.00440529983845216,0.444979781661835
