"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"avg_total_power_cycle_cc1",25.7363,30.902,31.6519,31.4946," average total power per cycle_cc1",25.7363,31.6519,5.9156,2.82511160251532,0.477569748210717
"alu_power_cc3",70872496.0303,53014171.9947,49625695.7796,49867407.133," total power usage of alu_cc3",49625695.7796,70872496.0303,21246800.2507,10136577.0947372,0.477087230789173
"fetch_stage_power_cc2",64345197.0155,39444313.5104,33526941.8149,33523662.344," total power usage of fetch stage_cc2",33523662.344,64345197.0155,30821534.6715,14690856.740453,0.476642610338198
"icache_power_cc1",55729873.7834,30828990.2783,24911618.5825,24908339.1116," total power usage of icache_cc1",24908339.1116,55729873.7834,30821534.6718,14690856.7405781,0.476642610337616
"icache_power_cc2",55729873.7834,30828990.2783,24911618.5825,24908339.1116," total power usage of icache_cc2",24908339.1116,55729873.7834,30821534.6718,14690856.7405781,0.476642610337616
"icache_power_cc3",56584234.1467,31254880.5931,25338760.9913,25377497.14," total power usage of icache_cc3",25338760.9913,56584234.1467,31245473.1554,14892005.0884141,0.476613204554414
"rename_power_cc1",9264785.5665,5114328.933,4099950.103,4099406.7478," total power usage of rename unit_cc1",4099406.7478,9264785.5665,5165378.8187,2460385.90672724,0.476322452444341
"dispatch_stage_power_cc1",9264785.5665,5114328.933,4099950.103,4099406.7478," total power usage of dispatch stage_cc1",4099406.7478,9264785.5665,5165378.8187,2460385.90672724,0.476322452444341
"dcache2_power_cc3",11054075.0375,6094625.4108,5091397.1925,5162245.1079," total power usage of dcache2_cc3",5091397.1925,11054075.0375,5962677.845,2839368.28239289,0.476190120647527
"dcache2_power",109220655.9872,59625258.9432,49591078.4672,50299481.8572," total power usage of dcache2",49591078.4672,109220655.9872,59629577.52,28394910.6582341,0.476188358851114
"regfile_power",92701092.6781,50606971.7858,42090455.5104,42691713.2828," total power usage of arch. regfile",42090455.5104,92701092.6781,50610637.1677,24100196.2531196,0.476188358847623
"clock_power",677196114.3601,369691916.9735,307477421.2939,311869704.2262," total power usage of clock",307477421.2939,677196114.3601,369718693.0662,176055737.685375,0.476188358844628
"dcache_power",157895553.3792,86197644.3557,71691665.9329,72715773.912," total power usage of dcache",71691665.9329,157895553.3792,86203887.4463,41049287.6887992,0.476188358841363
"total_power",1862812130.1265,1016938185.0064,845800290.3778,857882459.4197," total power per cycle",845800290.3778,1862812130.1265,1017011839.7487,484289198.88822,0.476188358837481
"issue_stage_power",900426416.1613,491556819.1977,408833994.5634,414674145.5891," total power usage of issue stage",408833994.5634,900426416.1613,491592421.5979,234090588.455338,0.476188358832784
"rename_power",10845671.0554,5920820.9252,4924421.2986,4994766.1439," total power usage of rename unit",4924421.2986,10845671.0554,5921249.7568,2819630.20391368,0.476188358830092
"dispatch_stage_power",10845671.0554,5920820.9252,4924421.2986,4994766.1439," total power usage of dispatch stage",4924421.2986,10845671.0554,5921249.7568,2819630.20391368,0.476188358830092
"window_power",57199276.1832,31225976.6715,25971037.8913,26342031.4622," total power usage of instruction window",25971037.8913,57199276.1832,31228238.2919,14870523.5413681,0.476188358829874
"icache_power",64273477.446,35087893.4356,29183042.6802,29599919.4049," total power usage of icache",29183042.6802,64273477.446,35090434.7658,16709656.5417508,0.476188358829809
"bpred_power",117369358.4256,64073762.6886,53290955.0315,54052210.7729," total power usage of bpred unit",53290955.0315,117369358.4256,64078403.3941,30513389.7486626,0.476188358829679
"falu_power",370574893.9597,202302612.2087,168257629.2593,170661171.9692," total power usage of falu",168257629.2593,370574893.9597,202317264.7004,96341126.2405831,0.476188358829629
"sim_cycle",25948724,14165813,11781885,11950188," total simulation time in cycles",11781885,25948724,14166839,6746083.81321314,0.476188358829598
"alu_power",491499332.7219,268317148.7341,223162750.3422,226350606.9858," total power usage of alu",223162750.3422,491499332.7219,268336582.3797,127778756.777319,0.476188358829546
