"metric","C1","C2","C4","desc","min","max","range","sd","index"
"LSQ_fcount",1243001,1245434,1264586," cumulative LSQ full count",1243001,1264586,21585,11822.5125502154,0.54771890434169
"regfile_power_cc3",9314914.3219,9322534.8296,9376966.9825," total power usage of arch. regfile_cc3",9314914.3219,9376966.9825,62052.6605999991,33841.454102115,0.545366689758271
"ruu_full",0.6005,0.6012,0.6013," fraction of time (cycle's) RUU was full",0.6005,0.6013,0.000799999999999912,0.000435889894354019,0.544862367942584
"icache_power_cc1",24910605.5133,24910568.3592,24910573.3131," total power usage of icache_cc1",24910568.3592,24910605.5133,37.1541000008583,20.1735022255936,0.542968399857015
"icache_power_cc2",24910605.5133,24910568.3592,24910573.3131," total power usage of icache_cc2",24910568.3592,24910605.5133,37.1541000008583,20.1735022255936,0.542968399857015
"fetch_stage_power_cc2",33525928.7457,33525891.5916,33525896.5455," total power usage of fetch stage_cc2",33525891.5916,33525928.7457,37.1541000008583,20.1735022255936,0.542968399857015
"max_cycle_power_cc1",56.5824,56.5759,56.6243," maximum cycle power usage of cc1",56.5759,56.6243,0.0484000000000009,0.0262691834665639,0.542751724515774
"lsq_power_cc2",2283341.9359,2283653.1646,2283610.676," total power usage of lsq_cc2",2283341.9359,2283653.1646,311.228699999861,168.765036950581,0.542254094659832
"issue_stage_power_cc3",120708111.9083,120773868.1891,121161059.0202," total power usage of issue stage_cc3",120708111.9083,121161059.0202,452947.111900002,244745.348723631,0.540339793087508
"ruu_occupancy",13.7351,13.7399,13.7392," avg RUU occupancy (insn's)",13.7351,13.7399,0.00480000000000125,0.00259293913027994,0.540195652141513
"il1.hits",27679173,27679176,27679192," total number of hits",27679173,27679192,19,10.2143689640297,0.537598366527879
"lsq_power_cc1",3453795.7012,3454331.8745,3454241.0041," total power usage of lsq_cc1",3453795.7012,3454331.8745,536.173299999908,286.947704288125,0.535177160608658
"avg_regfile_power_cc3",0.7625,0.7618,0.7658," avg power usage of arch. regfile_cc3",0.7618,0.7658,0.004,0.00213619599600163,0.534048999000408
"il1.accesses",27701990,27701993,27702007," total number of accesses",27701990,27702007,17,9.07377172587747,0.533751277992792
"itlb.accesses",27701990,27701993,27702007," total number of accesses",27701990,27702007,17,9.07377172587747,0.533751277992792
"itlb.hits",27701970,27701973,27701987," total number of hits",27701970,27701987,17,9.07377172587747,0.533751277992792
"total_icache_access",27702616,27702619,27702633," total number accesses of icache",27702616,27702633,17,9.07377172587747,0.533751277992792
"total_power_cycle_cc1",379515838.8299,379680972.0192,380435703.639," total power per cycle_cc1",379515838.8299,380435703.639,919864.809099972,490414.799796187,0.533137907814982
"avg_total_power_insn_cc1",13.9779,13.984,14.0118," average total power per insn_cc1",13.9779,14.0118,0.0338999999999992,0.0180705100462969,0.533053393696086
"RUU_fcount",7335572,7357541,7362498," cumulative RUU full count",7335572,7362498,26926,14330.7262318884,0.53222633261117
"total_power_cycle_cc2",239921413.588,240024488.0077,240469534.2552," total power per cycle_cc2",239921413.588,240469534.2552,548120.667199999,291297.889974649,0.531448470028881
"avg_total_power_insn_cc2",8.8365,8.8403,8.8567," average total power per insn_cc2",8.8365,8.8567,0.0202000000000009,0.0107349895202562,0.531435124765136
"RUU_count",167790512,168139367,168226558," cumulative RUU occupancy",167790512,168226558,436046,230737.294927225,0.529158150578667
"ifq_latency",1.6075,1.6107,1.6115," avg IFQ occupant latency (cycle's)",1.6075,1.6115,0.004,0.00211660104885169,0.529150262212922
"ruu_latency",6.1799,6.1927,6.1959," avg RUU occupant latency (cycle's)",6.1799,6.1959,0.016,0.00846640419540676,0.529150262212922
"avg_rename_power_cc2",0.2322,0.2318,0.2317," avg power usage of rename unit_cc2",0.2317,0.2322,5e-04,0.000264575131106456,0.529150262212912
"avg_dispatch_power_cc2",0.2322,0.2318,0.2317," average power of dispatch unit per cycle_cc2",0.2317,0.2322,5e-04,0.000264575131106456,0.529150262212912
"avg_rename_power_cc3",0.2405,0.2401,0.24," avg power usage of rename unit_cc3",0.24,0.2405,5e-04,0.000264575131106456,0.529150262212912
"avg_dispatch_power_cc3",0.2405,0.2401,0.24," average power of dispatch unit per cycle_cc3",0.24,0.2405,5e-04,0.000264575131106456,0.529150262212912
"IFQ_fcount",9895181,9916965,9922430," cumulative IFQ full count",9895181,9922430,27249,14415.9453499704,0.529044931923021
"IFQ_count",43644781,43731932,43753822," cumulative IFQ occupancy",43644781,43753822,109041,57683.6322567618,0.52900865047791
"ul2.repl_rate",0.5699,0.6173,0.5796," replacement rate (i.e., repls/ref)",0.5699,0.6173,0.0474,0.0250404339685504,0.528279197648743
"ul2.misses",43727,47325,44465," total number of misses",43727,47325,3598,1900.43188074009,0.528191184196802
"ul2.replacements",43215,46813,43953," total number of replacements",43215,46813,3598,1900.43188074009,0.528191184196802
"ul2.hits",32108,28510,31368," total number of hits",28510,32108,3598,1900.05999905266,0.528087826307021
"ul2.miss_rate",0.5766,0.6241,0.5864," miss rate (i.e., misses/ref)",0.5766,0.6241,0.0475,0.0250784768277501,0.527967933215792
"lsq_power_cc3",3101629.4575,3103982.3402,3104607.4523," total power usage of lsq_cc3",3101629.4575,3104607.4523,2977.99479999999,1570.3118143834,0.527305089445894
"clock_power_cc2",96515449.7346,96618184.9683,96645665.6199," total power usage of clock_cc2",96515449.7346,96645665.6199,130215.88530001,68636.5928158604,0.527098461587274
"ifq_occupancy",3.5727,3.5736,3.5734," avg IFQ occupancy (insn's)",3.5727,3.5736,0.000899999999999679,0.000472581562625083,0.525090625139169
"avg_bpred_power_cc3",1.0286,1.0276,1.0273," avg power usage of bpred unit_cc3",1.0273,1.0286,0.00129999999999986,0.00068068592855533,0.523604560427234
"mem.ptab_accesses",190728032,190728038,190728058," total page table accesses",190728032,190728058,26,13.6137185711081,0.523604560427234
"avg_icache_power_cc1",2.0392,2.0356,2.0345," avg power usage of icache_cc1",2.0345,2.0392,0.00470000000000015,0.00245831920899904,0.523046640212545
"avg_icache_power_cc2",2.0392,2.0356,2.0345," avg power usage of icache_cc2",2.0345,2.0392,0.00470000000000015,0.00245831920899904,0.523046640212545
"avg_lsq_access",0.7506,0.7493,0.7489," avg number accesses of lsq",0.7489,0.7506,0.00170000000000003,0.000888819441731586,0.522834965724452
"sim_exec_BW",2.2226,2.2187,2.2175," total instructions (mis-spec + committed) per cycle",2.2175,2.2226,0.0051000000000001,0.00266645832519468,0.522834965724437
"ifq_rate",2.2226,2.2187,2.2175," avg IFQ dispatch rate (insn/cycle)",2.2175,2.2226,0.0051000000000001,0.00266645832519468,0.522834965724437
"ruu_rate",2.2226,2.2187,2.2175," avg RUU dispatch rate (insn/cycle)",2.2175,2.2226,0.0051000000000001,0.00266645832519468,0.522834965724437
"lsq_rate",2.2226,2.2187,2.2175," avg LSQ dispatch rate (insn/cycle)",2.2175,2.2226,0.0051000000000001,0.00266645832519468,0.522834965724437
"avg_rename_access",2.2226,2.2187,2.2175," avg number accesses of rename unit",2.2175,2.2226,0.0051000000000001,0.00266645832519468,0.522834965724437
"avg_fetch_power_cc2",2.7444,2.7396,2.7381," average power of fetch unit per cycle_cc2",2.7381,2.7444,0.00629999999999997,0.00329089653438092,0.522364529266814
"avg_dcache_power_cc1",3.0664,3.061,3.0593," avg power usage of dcache_cc1",3.0593,3.0664,0.00709999999999988,0.00370720020140979,0.522140873438008
"avg_bpred_power_cc1",1.2893,1.2871,1.2864," avg power usage of bpred unit_cc1",1.2864,1.2893,0.0028999999999999,0.00151327459504211,0.521818825876608
"avg_clock_power_cc1",12.3731,12.365,12.3624," avg power usage of clock_cc1",12.3624,12.3731,0.0107000000000017,0.00558062123184705,0.521553386153847
"avg_alu_power_cc1",5.5657,5.5561,5.553," avg power usage of alu_cc1",5.553,5.5657,0.0126999999999997,0.00662142985565289,0.52137242957898
"avg_dcache_power_cc3",2.5827,2.5793,2.5782," avg power usage of dcache_cc3",2.5782,2.5827,0.00450000000000017,0.0023459184413218,0.521315209182602
"sim_IPC",2.1062,2.1025,2.1013," instructions per cycle",2.1013,2.1062,0.00489999999999968,0.00255408170059858,0.521241163387499
"avg_alu_access",2.1588,2.1551,2.1539," avg number accesses of alu",2.1539,2.1588,0.00489999999999968,0.00255408170059858,0.521241163387499
"avg_total_power_insn_nofp_nod2",23.9806,24.0222,24.0357," average total power per insn",23.9806,24.0357,0.0550999999999995,0.0287193895014038,0.521223039952888
"avg_total_power_insn",30.624,30.6771,30.6944," average total power per insn",30.624,30.6944,0.0704000000000029,0.0366857374647618,0.521104225351708
"avg_window_access",8.1479,8.1338,8.1292," avg number accesses of instruction window",8.1292,8.1479,0.0186999999999991,0.00974388697252401,0.521063474466551
"dcache2_power_cc3",606765.019,607790.3287,608125.1256," total power usage of dcache2_cc3",606765.019,608125.1256,1360.10660000006,708.665284005483,0.521036574637204
"bpred_power_cc3",12565788.3548,12575366.5273,12578496.5307," total power usage of bpred unit_cc3",12565788.3548,12578496.5307,12708.1758999992,6621.12835838268,0.521013276058218
"icache_power",30258738.8444,30311188.0857,30328333.4763," total power usage of icache",30258738.8444,30328333.4763,69594.6319000013,36259.0221440794,0.521003145704959
"dcache_power",74334243.3653,74463091.2555,74505210.9766," total power usage of dcache",74334243.3653,74505210.9766,170967.611300007,89074.6632776538,0.521003145568604
"alu_power",231388599.7602,231789679.1493,231920789.9654," total power usage of alu",231388599.7602,231920789.9654,532190.205200016,277272.770922451,0.521003145516822
"regfile_power",43641922.9852,43717570.082,43742298.7339," total power usage of arch. regfile",43641922.9852,43742298.7339,100375.7487,52296.0808062222,0.521003145515985
"issue_stage_power",378400164.9104,379056068.0409,379270479.4444," total power usage of issue stage",378400164.9104,379270479.4444,870314.534000039,453436.609800142,0.521003145513507
"falu_power",174459658.5887,174762059.7157,174860913.1089," total power usage of falu",174459658.5887,174860913.1089,401254.520200014,209054.86717565,0.521003145513331
"clock_power",318811136.088,319363750.0705,319544396.7759," total power usage of clock",318811136.088,319544396.7759,733260.687900007,382031.124876406,0.521003145512285
"sim_cycle",12216169,12237344,12244266," total simulation time in cycles",12216169,12244266,28097,14638.6253794542,0.521003145512125
"total_power",831473176.3041,832914417.3757,833385551.7652," total power per cycle",831473176.3041,833385551.7652,1912375.46109998,996353.630633014,0.52100314551198
"fetch_stage_power",85514015.2986,85662241.7412,85710696.2128," total power usage of fetch stage",85514015.2986,85710696.2128,196680.914199993,102471.374957782,0.52100314549883
"resultbus_power",28067172.1993,28115822.67,28131726.2619," total power usage of resultbus",28067172.1993,28131726.2619,64554.0626000017,33632.8696684719,0.521003145485549
"window_power",26928338.5452,26975015.0088,26990273.3078," total power usage of instruction window",26928338.5452,26990273.3078,61934.7625999972,32268.2061294947,0.521003145485475
"bpred_power",55255276.4542,55351053.6555,55382362.7364," total power usage of bpred unit",55255276.4542,55382362.7364,127086.282200001,66212.352773837,0.521003145482183
"lsq_power",11766369.5038,11786764.84,11793431.9719," total power usage of load/store queue",11766369.5038,11793431.9719,27062.4681000002,14099.631000766,0.521003145340094
"dcache2_power",5915441.5366,5925695.1173,5929046.9608," total power usage of dcache2",5915441.5366,5929046.9608,13605.4241999993,7088.46880129769,0.521003145296863
"rename_power",5105937.022,5114787.4411,5117680.5982," total power usage of rename unit",5105937.022,5117680.5982,11743.5762,6118.4401363983,0.521003145225753
"dispatch_stage_power",5105937.022,5114787.4411,5117680.5982," total power usage of dispatch stage",5105937.022,5117680.5982,11743.5762,6118.4401363983,0.521003145225753
"clock_power_cc1",151152071.2881,151315271.8901,151368709.5175," total power usage of clock_cc1",151152071.2881,151368709.5175,216638.229400009,112858.420859112,0.520953393921653
"avg_fetch_power_cc1",3.3285,3.3227,3.3208," average power of fetch unit per cycle_cc1",3.3208,3.3285,0.00769999999999982,0.00401123422402621,0.520939509613806
"fetch_stage_power_cc3",38011207.1999,38025996.8577,38030845.8588," total power usage of fetch stage_cc3",38011207.1999,38030845.8588,19638.6589000002,10230.0514245969,0.520913952255511
"rename_power_cc3",2937666.1396,2938551.5577,2938842.2109," total power usage of rename unit_cc3",2937666.1396,2938842.2109,1176.07129999995,612.588523828907,0.520877028313616
"dispatch_stage_power_cc3",2937666.1396,2938551.5577,2938842.2109," total power usage of dispatch stage_cc3",2937666.1396,2938842.2109,1176.07129999995,612.588523828907,0.520877028313616
"dcache_power_cc3",31550433.7396,31563333.7409,31567570.0526," total power usage of dcache_cc3",31550433.7396,31567570.0526,17136.313000001,8925.70812871043,0.520865143436042
"alu_power_cc3",50444957.3125,50485003.4746,50498158.6546," total power usage of alu_cc3",50444957.3125,50498158.6546,53201.3421000019,27710.2167109698,0.520855595313429
"icache_power_cc3",25445418.8451,25450630.3305,25452349.3281," total power usage of icache_cc3",25445418.8451,25452349.3281,6930.48299999908,3608.92706669824,0.520732403022808
"dcache2_power_cc1",31410.3373,31410.5794,31409.6109," total power usage of dcache2_cc1",31409.6109,31410.5794,0.96849999999904,0.504027383514898,0.520420633469693
"avg_alu_power_cc3",4.1294,4.1255,4.1242," avg power usage of alu_cc3",4.1242,4.1294,0.00520000000000032,0.00270616579930621,0.520416499866547
"avg_icache_access",2.2677,2.2638,2.2625," avg number accesses of icache",2.2625,2.2677,0.00519999999999987,0.00270616579930596,0.520416499866543
