"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"lsq_occupancy",0.791,1.0882,1.353,1.353," avg LSQ occupancy (insn's)",0.791,1.353,0.562,0.2677458247418,0.476416058259431
"mem.ptab_misses",491,457,427,427," total first level page table misses",427,491,64,30.4795013082563,0.476242207941505
"ruu_occupancy",3.1535,4.6197,5.9126,5.9126," avg RUU occupancy (insn's)",3.1535,5.9126,2.7591,1.31396945931022,0.476231183831765
"avg_icache_access",0.5491,0.7375,0.8957,0.8957," avg number accesses of icache",0.5491,0.8957,0.3466,0.164775645449603,0.475405786063483
"sim_exec_BW",0.5111,0.6767,0.8138,0.8138," total instructions (mis-spec + committed) per cycle",0.5111,0.8138,0.3027,0.143837512492395,0.475181739320764
"ifq_rate",0.5111,0.6767,0.8138,0.8138," avg IFQ dispatch rate (insn/cycle)",0.5111,0.8138,0.3027,0.143837512492395,0.475181739320764
"ruu_rate",0.5111,0.6767,0.8138,0.8138," avg RUU dispatch rate (insn/cycle)",0.5111,0.8138,0.3027,0.143837512492395,0.475181739320764
"lsq_rate",0.5111,0.6767,0.8138,0.8138," avg LSQ dispatch rate (insn/cycle)",0.5111,0.8138,0.3027,0.143837512492395,0.475181739320764
"avg_rename_access",0.5111,0.6767,0.8138,0.8138," avg number accesses of rename unit",0.5111,0.8138,0.3027,0.143837512492395,0.475181739320764
"max_cycle_power_cc3",22.0673,26.1544,29.8732,29.9617," maximum cycle power usage of cc3",22.0673,29.9617,7.8944,3.74489487569411,0.474373590861131
"ul2.miss_rate",0.5408,0.5385,0.5367,0.5367," miss rate (i.e., misses/ref)",0.5367,0.5408,0.00409999999999999,0.00194486503387767,0.474357325336018
"bpred_power_cc1",8134.8428,7445.066,7239.2638,7239.2638," total power usage of bpred unit_cc1",7239.2638,8134.8428,895.579000000001,424.718005990438,0.474238460247993
"alu_power_cc1",42863.8799,25779.8417,20541.8551,20541.8551," total power usage of alu_cc1",20541.8551,42863.8799,22322.0248,10580.1817517716,0.473979481994465
