5 "10K" 20.133 "PFlock"
10 "10K" 9.215 "PFlock"
15 "10K" 7.37 "PFlock"
20 "10K" 7.821 "PFlock"
25 "10K" 7.626 "PFlock"
30 "10K" 8.604 "PFlock"
35 "10K" 9.176 "PFlock"
40 "10K" 10.887 "PFlock"
45 "10K" 10.421 "PFlock"
5 "20K" 6.003 "PFlock"
10 "20K" 7.229 "PFlock"
15 "20K" 9.227 "PFlock"
20 "20K" 13.307 "PFlock"
25 "20K" 11.051 "PFlock"
30 "20K" 11.329 "PFlock"
35 "20K" 13.856 "PFlock"
40 "20K" 13.585 "PFlock"
45 "20K" 16.858 "PFlock"
5 "30K" 8.916 "PFlock"
10 "30K" 10.608 "PFlock"
15 "30K" 10.713 "PFlock"
20 "30K" 12.566 "PFlock"
25 "30K" 15.527 "PFlock"
30 "30K" 15.239 "PFlock"
35 "30K" 22.953 "PFlock"
40 "30K" 20.263 "PFlock"
45 "30K" 22.962 "PFlock"
