5 "10K" 18.836 "PFlock"
10 "10K" 6.898 "PFlock"
15 "10K" 6.589 "PFlock"
20 "10K" 7.057 "PFlock"
25 "10K" 7.77 "PFlock"
30 "10K" 8.335 "PFlock"
35 "10K" 9.035 "PFlock"
40 "10K" 10.205 "PFlock"
45 "10K" 8.112 "PFlock"
5 "20K" 9.646 "PFlock"
10 "20K" 6.685 "PFlock"
15 "20K" 8.38 "PFlock"
20 "20K" 10.715 "PFlock"
25 "20K" 11.235 "PFlock"
30 "20K" 12.159 "PFlock"
35 "20K" 10.974 "PFlock"
40 "20K" 14.732 "PFlock"
45 "20K" 14.402 "PFlock"
5 "30K" 9.621 "PFlock"
10 "30K" 10.977 "PFlock"
15 "30K" 15.045 "PFlock"
20 "30K" 16.227 "PFlock"
25 "30K" 16.409 "PFlock"
30 "30K" 18.809 "PFlock"
35 "30K" 19.826 "PFlock"
40 "30K" 21.061 "PFlock"
45 "30K" 24.137 "PFlock"
