"PFlock",30,"80K",12,52.368,18,1051131,0.717,0.283,"13:28:31.934"
"PFlock",35,"80K",12,60.923,18,1344013,0.711,0.289,"13:29:32.882"
"PFlock",40,"80K",12,69.659,18,1647462,0.702,0.298,"13:30:42.566"
"PFlock",45,"80K",12,125.686,18,1957834,0.701,0.299,"13:32:48.284"
"PFlock",5,"90K",12,22.886,18,30995,0.833,0.167,"13:33:11.195"
"PFlock",10,"90K",12,22.284,18,166035,0.792,0.208,"13:33:33.504"
"PFlock",15,"90K",12,30.623,18,388400,0.769,0.231,"13:34:04.152"
"PFlock",20,"90K",12,38.464,18,669308,0.74,0.26,"13:34:42.642"
"PFlock",25,"90K",12,49.612,18,991292,0.724,0.276,"13:35:32.279"
"PFlock",30,"90K",12,64.153,18,1341637,0.713,0.287,"13:36:36.457"
"PFlock",35,"90K",12,80.09,18,1711642,0.705,0.295,"13:37:56.573"
"PFlock",40,"90K",12,102.932,18,2095387,0.699,0.301,"13:39:39.530"
"PFlock",45,"90K",12,112.905,18,2489055,0.698,0.302,"13:41:32.460"
"PFlock",5,"100K",12,21.617,18,39721,0.838,0.162,"13:41:54.103"
"PFlock",10,"100K",12,28.309,18,208645,0.792,0.208,"13:42:22.437"
"PFlock",15,"100K",12,36.35,18,485024,0.771,0.229,"13:42:58.811"
"PFlock",20,"100K",12,43.768,18,832661,0.743,0.257,"13:43:42.605"
"PFlock",25,"100K",12,71.583,18,1229793,0.724,0.276,"13:44:54.215"
"PFlock",30,"100K",12,82.643,18,1662884,0.712,0.288,"13:46:16.884"
"PFlock",35,"100K",12,107.193,18,2121751,0.702,0.298,"13:48:04.103"
"PFlock",40,"100K",12,131.109,18,2596718,0.697,0.303,"13:50:15.238"
"PFlock",45,"100K",12,205.314,18,3084283,0.699,0.301,"13:53:40.577"
