5 "10K" 18.628 "PFlock"
10 "10K" 9.594 "PFlock"
15 "10K" 7.695 "PFlock"
20 "10K" 8.167 "PFlock"
25 "10K" 7.412 "PFlock"
30 "10K" 10.941 "PFlock"
35 "10K" 9.52 "PFlock"
40 "10K" 10.221 "PFlock"
45 "10K" 10.514 "PFlock"
5 "20K" 7.304 "PFlock"
10 "20K" 8.715 "PFlock"
15 "20K" 12.304 "PFlock"
20 "20K" 10.912 "PFlock"
25 "20K" 12.132 "PFlock"
30 "20K" 13.939 "PFlock"
35 "20K" 13.39 "PFlock"
40 "20K" 16.85 "PFlock"
45 "20K" 16.597 "PFlock"
5 "30K" 9.847 "PFlock"
10 "30K" 12.807 "PFlock"
15 "30K" 13.68 "PFlock"
20 "30K" 15.439 "PFlock"
25 "30K" 22.077 "PFlock"
30 "30K" 19.993 "PFlock"
35 "30K" 23.579 "PFlock"
40 "30K" 22.928 "PFlock"
45 "30K" 25.364 "PFlock"
