"PFlock" 30 "80K" 12 260.125 1051131 0.717 0.283 "12:03:06.282"
"PFlock" 35 "80K" 12 316.006 1344013 0.711 0.289 "12:08:22.313"
"PFlock" 40 "80K" 12 377.571 1647462 0.702 0.298 "12:14:39.911"
"PFlock" 45 "80K" 12 444.437 1957834 0.701 0.299 "12:22:04.378"
"PFlock" 5 "90K" 12 59.078 30995 0.833 0.167 "12:31:40.998"
"PFlock" 10 "90K" 12 93.205 166035 0.792 0.208 "12:33:14.221"
"PFlock" 15 "90K" 12 139.044 388400 0.769 0.231 "12:35:33.282"
"PFlock" 20 "90K" 12 193.013 669308 0.74 0.26 "12:38:46.325"
"PFlock" 25 "90K" 12 248.785 991292 0.724 0.276 "12:42:55.133"
"PFlock" 30 "90K" 12 365.107 1341637 0.713 0.287 "12:49:00.265"
"PFlock" 35 "90K" 12 455.264 1711642 0.705 0.295 "12:56:35.549"
"PFlock" 40 "90K" 12 642.143 2095387 0.699 0.301 "13:07:17.711"
"PFlock" 45 "90K" 12 836.433 2489055 0.698 0.302 "13:21:14.294"
"PFlock" 5 "100K" 12 183.993 39721 0.838 0.162 "13:47:27.295"
"PFlock" 10 "100K" 12 149.913 208645 0.792 0.208 "13:49:57.230"
"PFlock" 15 "100K" 12 199.308 485024 0.771 0.229 "13:53:16.556"
"PFlock" 20 "100K" 12 264.784 832661 0.743 0.257 "13:57:41.360"
"PFlock" 25 "100K" 12 361.521 1229793 0.724 0.276 "14:03:42.902"
"PFlock" 30 "100K" 12 478.877 1662884 0.712 0.288 "14:11:41.793"
"PFlock" 35 "100K" 12 798.246 2121751 0.702 0.298 "14:25:00.213"
"PFlock" 40 "100K" 12 1256.701 2596718 0.697 0.303 "14:45:57.098"
"PFlock" 45 "100K" 12 1617.607 3084283 0.699 0.301 "15:12:54.992"
