5 "10K" 29.752 "PFlock"
10 "10K" 21.654 "PFlock"
15 "10K" 23.281 "PFlock"
20 "10K" 25.72 "PFlock"
25 "10K" 28.378 "PFlock"
30 "10K" 31.592 "PFlock"
35 "10K" 33.346 "PFlock"
40 "10K" 36.497 "PFlock"
45 "10K" 38.902 "PFlock"
5 "20K" 22.664 "PFlock"
10 "20K" 28.78 "PFlock"
15 "20K" 33.606 "PFlock"
20 "20K" 39.318 "PFlock"
25 "20K" 44.548 "PFlock"
30 "20K" 54.764 "PFlock"
35 "20K" 56.127 "PFlock"
40 "20K" 69.478 "PFlock"
45 "20K" 67.88 "PFlock"
5 "30K" 29.401 "PFlock"
10 "30K" 39.879 "PFlock"
15 "30K" 48.355 "PFlock"
20 "30K" 59.616 "PFlock"
25 "30K" 69.252 "PFlock"
30 "30K" 84.364 "PFlock"
35 "30K" 87.023 "PFlock"
40 "30K" 109.911 "PFlock"
45 "30K" 115.228 "PFlock"
