0,-385876.05421599996,4363826.08065,-336713.342434,4434033.2343
1,-357800.748351,4444681.45561,-333567.122384,4449408.9071
2,-343971.636895,4455064.96648,-334455.047675,4459267.07673
3,-334249.44954299997,4460075.52786,-333744.983508,4460652.05586
4,-341417.63211999997,4460980.21946,-333860.33675300004,4464311.65652
5,-346664.812692,4464523.360230001,-333619.363383,4467145.46681
6,-344675.72554099996,4467281.31039,-337555.79703099997,4468879.72812
7,-339236.012623,4469080.5113,-333549.214973,4474564.03382
8,-351120.115896,4474681.96167,-337277.804863,4475867.23875
9,-346932.380671,4476749.75096,-336250.31161,4485129.74496
10,-376626.322148,4485318.61661,-338691.685376,4499949.15723
11,-349974.97542800003,4500781.6432300005,-335047.944974,4511313.17767
12,-358871.162464,4511727.15847,-346731.819058,4520717.56278
13,-347460.451711,4538735.65005,-347460.451711,4538735.65005
14,-332529.691134,4440971.66301,-329807.701219,4457256.313999999
15,-333120.880178,4458416.84186,-329652.354544,4461095.07929
16,-330246.043489,4461836.23724,-329513.856077,4463431.73486
17,-332701.20101799996,4463629.35068,-329690.77747800003,4466094.79928
18,-332308.43636399996,4466228.76724,-329613.82889899996,4466559.932440001
19,-332552.898728,4466904.62746,-329344.895118,4469926.63973
20,-333024.68613600003,4469960.29543,-329948.436391,4470690.42293
21,-329359.14434899995,4471156.9606,-329344.828653,4471601.34816
22,-333074.25984099996,4471797.531169999,-329348.507312,4472226.930819999
23,-331601.028734,4472254.12061,-329422.477817,4473473.732969999
24,-329990.345348,4473540.71247,-329631.545468,4474690.14676
25,-332697.499102,4474910.48928,-330442.65631500003,4475890.56654
26,-331082.764815,4476364.6640099995,-329416.713186,4484585.51741
27,-329714.788179,4487448.020819999,-329714.788179,4487448.020819999
28,-329137.936019,4443324.472159999,-328490.293855,4464204.51777
29,-329293.191444,4465543.9363,-328495.520067,4470875.19219
30,-329322.566946,4471072.28855,-328570.507389,4471303.58219
31,-329262.506888,4471463.8871,-328564.728793,4471516.22942
32,-329316.99271900003,4471554.19825,-328929.974194,4471949.36432
33,-329333.578169,4471980.88659,-328530.824423,4472058.28868
34,-329293.887337,4472068.54857,-328626.042786,4472384.986269999
35,-329276.56754099997,4472493.547259999,-328814.173744,4472548.12807
36,-329311.879668,4472582.26558,-328540.749173,4473081.0891
37,-329288.942178,4473125.47915,-328525.308164,4473430.521869999
38,-329236.386651,4473468.13635,-328894.47702,4473517.30505
39,-328920.07245100004,4473523.5473,-328817.322791,4473609.8853
40,-329225.955477,4473677.336490001,-328598.20969,4474292.96955
41,-329078.52008600003,4480685.00995,-329078.52008600003,4480685.00995
42,-328366.093615,4440682.766369999,-327666.037259,4463103.906219999
43,-328469.03629699996,4466035.457330001,-327904.306064,4468444.89552
44,-328411.621334,4469177.4353,-327874.28498,4469333.027419999
45,-328480.276458,4470854.55046,-327677.443869,4471256.326669999
46,-328410.573806,4471367.16708,-328031.017535,4471910.10616
47,-328329.760758,4471924.22339,-327628.120575,4472016.17896
48,-328361.44516,4472063.5785300005,-327887.48008,4472544.40419
49,-328386.229345,4472551.36621,-327643.508464,4472777.61959
50,-328397.67155100004,4472804.60678,-327653.16074699996,4473072.92161
51,-328358.756153,4473083.57011,-327917.056774,4473249.99029
52,-328341.168725,4473622.191269999,-328007.15994499996,4474358.33188
53,-328370.98456,4474729.27025,-328128.966138,4478369.21409
54,-328395.58935300005,4478834.29955,-327867.333452,4480804.937030001
55,-327696.27225599997,4483576.50992,-327696.27225599997,4483576.50992
56,-327298.165173,4463504.21963,-327006.493999,4470990.3007
57,-327182.029802,4471245.09384,-326975.986556,4471865.41472
58,-327206.600196,4471917.77429,-326915.368281,4471967.37355
59,-327511.967119,4471971.98662,-326956.84013699996,4471991.81123
60,-327419.450521,4472015.17258,-326940.778784,4472082.1908599995
61,-327033.37421,4472250.00637,-326941.813614,4472497.89011
62,-327545.06412600004,4472553.54391,-326916.81288499996,4473082.00586
63,-327521.630652,4473088.67385,-326937.89687199995,4473764.65197
64,-327600.704025,4473793.4686199995,-326912.935043,4475049.927130001
65,-327413.92995799996,4475394.2969,-327133.102354,4475542.44448
66,-327392.385454,4475568.21029,-327228.970936,4475771.54706
67,-327411.844445,4475833.77109,-326995.20691999997,4478196.24225
68,-327478.10128400003,4478295.59774,-326945.141804,4484729.66756
69,-327536.199308,4494548.51111,-327536.199308,4494548.51111
70,-326888.28680999996,4459594.96659,-326709.06728,4465406.59082
71,-326816.912033,4466383.7221800005,-326739.198645,4471894.67251
72,-326906.412362,4471910.85385,-326758.393692,4471931.19025
73,-326860.30579699995,4471962.86532,-326699.207514,4472257.950180001
74,-326904.481799,4472289.865180001,-326728.746437,4472548.00031
75,-326900.808646,4472556.4521,-326744.345182,4472619.481869999
76,-326889.15979899996,4472626.81429,-326701.287946,4472816.262569999
77,-326902.184634,4472827.455709999,-326756.47094,4473735.15627
78,-326874.16513000004,4473761.16122,-326746.298155,4474058.53271
79,-326834.717882,4474310.4711,-326704.69908,4474741.72618
80,-326894.23047199997,4474856.96794,-326724.005933,4474982.01859
81,-326912.361702,4475113.88907,-326873.316139,4475390.76666
82,-326876.59,4475440.024680001,-326732.733249,4476981.87693
83,-326788.080509,4482565.22941,-326788.080509,4482565.22941
84,-326683.131921,4462924.39384,-326549.068306,4470933.48224
85,-326693.187841,4471370.44804,-326385.30197,4471650.4094
86,-326583.487834,4471674.98634,-326401.818702,4471801.59822
87,-326650.117506,4471818.51572,-326422.25123,4471895.924319999
88,-326696.382824,4471903.440169999,-326434.093188,4471961.20225
