Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,61.17,11226,22452,111,17
B20K,20.0,7,10,69.77,23819,47638,1524,108
B20K,30.0,7,10,68.94,36174,72348,3889,240
B20K,10.0,7,10,61.70,11226,22452,111,17
B20K,20.0,7,10,64.23,23819,47638,1524,108
B20K,30.0,7,10,67.58,36174,72348,3889,240
B20K,10.0,7,10,60.36,11226,22452,111,17
B20K,20.0,7,10,65.45,23819,47638,1524,108
B20K,30.0,7,10,67.92,36174,72348,3889,240
B40K,10.0,14,10,48.12,22452,44904,222,34
B40K,20.0,14,10,53.73,47638,95276,3048,216
B40K,30.0,14,10,55.85,72348,144696,7778,480
B40K,10.0,14,10,48.25,22452,44904,222,34
B40K,20.0,14,10,53.95,47638,95276,3048,216
B40K,30.0,14,10,56.08,72348,144696,7778,480
B40K,10.0,14,10,48.37,22452,44904,222,34
B40K,20.0,14,10,53.01,47638,95276,3048,216
B40K,30.0,14,10,55.65,72348,144696,7778,480
B60K,10.0,21,10,41.57,33678,67356,333,51
B60K,20.0,21,10,46.27,71457,142914,4572,324
B60K,30.0,21,10,47.76,108522,217044,11667,720
B60K,10.0,21,10,41.36,33678,67356,333,51
B60K,20.0,21,10,45.58,71457,142914,4572,324
B60K,30.0,21,10,49.58,108522,217044,11667,720
B60K,10.0,21,10,42.73,33678,67356,333,51
B60K,20.0,21,10,45.77,71457,142914,4572,324
B60K,30.0,21,10,47.51,108522,217044,11667,720
B80K,10.0,35,10,41.19,44904,89808,444,68
B80K,20.0,35,10,46.29,95276,190552,6096,432
B80K,30.0,35,10,49.19,144696,289392,15556,960
B80K,10.0,35,10,42.49,44904,89808,444,68
B80K,20.0,35,10,46.51,95276,190552,6096,432
B80K,30.0,35,10,48.88,144696,289392,15556,960
B80K,10.0,35,10,41.76,44904,89808,444,68
B80K,20.0,35,10,47.22,95276,190552,6096,432
B80K,30.0,35,10,49.24,144696,289392,15556,960
