Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,48.01,11226,22452,111,17
B20K,20.0,7,10,52.77,23819,47638,1524,108
B20K,30.0,7,10,54.87,36174,72348,3889,240
B20K,10.0,7,10,48.76,11226,22452,111,17
B20K,20.0,7,10,52.94,23819,47638,1524,108
B20K,30.0,7,10,56.48,36174,72348,3889,240
B20K,10.0,7,10,50.57,11226,22452,111,17
B20K,20.0,7,10,52.80,23819,47638,1524,108
B20K,30.0,7,10,54.82,36174,72348,3889,240
B40K,10.0,14,10,38.77,22452,44904,222,34
B40K,20.0,14,10,43.14,47638,95276,3048,216
B40K,30.0,14,10,45.64,72348,144696,7778,480
B40K,10.0,14,10,39.22,22452,44904,222,34
B40K,20.0,14,10,43.20,47638,95276,3048,216
B40K,30.0,14,10,47.05,72348,144696,7778,480
B40K,10.0,14,10,38.68,22452,44904,222,34
B40K,20.0,14,10,43.16,47638,95276,3048,216
B40K,30.0,14,10,45.01,72348,144696,7778,480
B60K,10.0,21,10,39.94,33678,67356,333,51
B60K,20.0,21,10,46.15,71457,142914,4572,324
B60K,30.0,21,10,47.12,108522,217044,11667,720
B60K,10.0,21,10,40.75,33678,67356,333,51
B60K,20.0,21,10,44.36,71457,142914,4572,324
B60K,30.0,21,10,47.79,108522,217044,11667,720
B60K,10.0,21,10,41.55,33678,67356,333,51
B60K,20.0,21,10,46.20,71457,142914,4572,324
B60K,30.0,21,10,47.35,108522,217044,11667,720
B80K,10.0,35,10,41.46,44904,89808,444,68
B80K,20.0,35,10,49.44,95276,190552,6096,432
B80K,30.0,35,10,48.21,144696,289392,15556,960
B80K,10.0,35,10,45.55,44904,89808,444,68
B80K,20.0,35,10,46.42,95276,190552,6096,432
B80K,30.0,35,10,48.76,144696,289392,15556,960
B80K,10.0,35,10,42.72,44904,89808,444,68
B80K,20.0,35,10,46.20,95276,190552,6096,432
B80K,30.0,35,10,50.04,144696,289392,15556,960
