Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B60K,10.0,7,10,59.95,15905,31810,50,5
B60K,20.0,7,10,64.02,36979,73958,537,47
B60K,30.0,7,10,66.67,61034,122068,1599,129
B60K,10.0,7,10,58.45,15905,31810,50,5
B60K,20.0,7,10,63.77,36979,73958,537,47
B60K,30.0,7,10,66.86,61034,122068,1599,129
B60K,10.0,7,10,59.04,15905,31810,50,5
B60K,20.0,7,10,62.51,36979,73958,537,47
B60K,30.0,7,10,67.05,61034,122068,1599,129
B120K,10.0,14,10,52.43,31810,63620,100,10
B120K,20.0,14,10,57.30,73958,147916,1074,94
B120K,30.0,14,10,59.93,122068,244136,3198,258
B120K,10.0,14,10,52.31,31810,63620,100,10
B120K,20.0,14,10,57.25,73958,147916,1074,94
B120K,30.0,14,10,60.88,122068,244136,3198,258
B120K,10.0,14,10,52.26,31810,63620,100,10
B120K,20.0,14,10,57.29,73958,147916,1074,94
B120K,30.0,14,10,59.85,122068,244136,3198,258
B180K,10.0,21,10,48.74,47715,95430,150,15
B180K,20.0,21,10,54.05,110937,221874,1611,141
B180K,30.0,21,10,54.99,183102,366204,4797,387
B180K,10.0,21,10,47.44,47715,95430,150,15
B180K,20.0,21,10,51.04,110937,221874,1611,141
B180K,30.0,21,10,55.29,183102,366204,4797,387
B180K,10.0,21,10,47.85,47715,95430,150,15
B180K,20.0,21,10,55.22,110937,221874,1611,141
B180K,30.0,21,10,54.45,183102,366204,4797,387
B240K,10.0,35,10,49.41,63620,127240,200,20
B240K,20.0,35,10,55.96,147916,295832,2148,188
B240K,30.0,35,10,57.94,244136,488272,6396,516
B240K,10.0,35,10,62.68,63620,127240,200,20
B240K,20.0,35,10,53.53,147916,295832,2148,188
B240K,30.0,35,10,56.52,244136,488272,6396,516
B240K,10.0,35,10,49.79,63620,127240,200,20
B240K,20.0,35,10,53.93,147916,295832,2148,188
B240K,30.0,35,10,58.21,244136,488272,6396,516
