Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,49.07,11226,22452,111,17
B20K,20.0,7,10,52.30,23819,47638,1524,108
B20K,30.0,7,10,55.68,36174,72348,3889,240
B20K,10.0,7,10,48.64,11226,22452,111,17
B20K,20.0,7,10,53.06,23819,47638,1524,108
B20K,30.0,7,10,55.40,36174,72348,3889,240
B20K,10.0,7,10,48.90,11226,22452,111,17
B20K,20.0,7,10,51.46,23819,47638,1524,108
B20K,30.0,7,10,55.02,36174,72348,3889,240
B40K,10.0,14,10,48.10,22452,44904,222,34
B40K,20.0,14,10,52.57,47638,95276,3048,216
B40K,30.0,14,10,55.02,72348,144696,7778,480
B40K,10.0,14,10,47.76,22452,44904,222,34
B40K,20.0,14,10,53.00,47638,95276,3048,216
B40K,30.0,14,10,56.41,72348,144696,7778,480
B40K,10.0,14,10,46.76,22452,44904,222,34
B40K,20.0,14,10,55.07,47638,95276,3048,216
B40K,30.0,14,10,55.34,72348,144696,7778,480
B60K,10.0,21,10,39.98,33678,67356,333,51
B60K,20.0,21,10,45.06,71457,142914,4572,324
B60K,30.0,21,10,46.92,108522,217044,11667,720
B60K,10.0,21,10,40.83,33678,67356,333,51
B60K,20.0,21,10,45.37,71457,142914,4572,324
B60K,30.0,21,10,48.46,108522,217044,11667,720
B60K,10.0,21,10,41.27,33678,67356,333,51
B60K,20.0,21,10,46.43,71457,142914,4572,324
B60K,30.0,21,10,48.35,108522,217044,11667,720
B80K,10.0,35,10,42.22,44904,89808,444,68
B80K,20.0,35,10,46.43,95276,190552,6096,432
B80K,30.0,35,10,49.36,144696,289392,15556,960
B80K,10.0,35,10,42.28,44904,89808,444,68
B80K,20.0,35,10,45.85,95276,190552,6096,432
B80K,30.0,35,10,49.03,144696,289392,15556,960
B80K,10.0,35,10,42.37,44904,89808,444,68
B80K,20.0,35,10,47.46,95276,190552,6096,432
B80K,30.0,35,10,50.16,144696,289392,15556,960
