Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B60K,10.0,2,10,89.37,15905,31810,50,5
B60K,20.0,2,10,94.16,36979,73958,537,47
B60K,30.0,2,10,95.84,61034,122068,1599,129
B60K,40.0,2,10,104.68,89200,178400,3980,408
B60K,50.0,2,10,108.33,119981,239962,8392,847
B60K,10.0,2,10,84.37,15905,31810,50,5
B60K,20.0,2,10,90.47,36979,73958,537,47
B60K,30.0,2,10,108.36,61034,122068,1599,129
B60K,40.0,2,10,111.87,89200,178400,3980,408
B60K,50.0,2,10,109.15,119981,239962,8392,847
B60K,10.0,2,10,85.38,15905,31810,50,5
B60K,20.0,2,10,97.36,36979,73958,537,47
B60K,30.0,2,10,101.03,61034,122068,1599,129
B60K,40.0,2,10,104.49,89200,178400,3980,408
B60K,50.0,2,10,110.25,119981,239962,8392,847
B60K,10.0,2,10,86.04,15905,31810,50,5
B60K,20.0,2,10,91.36,36979,73958,537,47
B60K,30.0,2,10,97.51,61034,122068,1599,129
B60K,40.0,2,10,104.60,89200,178400,3980,408
B60K,50.0,2,10,109.54,119981,239962,8392,847
B60K,10.0,2,10,86.09,15905,31810,50,5
B60K,20.0,2,10,91.60,36979,73958,537,47
B60K,30.0,2,10,100.72,61034,122068,1599,129
B60K,40.0,2,10,106.21,89200,178400,3980,408
B60K,50.0,2,10,113.98,119981,239962,8392,847
B120K,10.0,4,10,69.02,31810,63620,100,10
B120K,20.0,4,10,77.21,73958,147916,1074,94
B120K,30.0,4,10,82.62,122068,244136,3198,258
B120K,40.0,4,10,94.11,178400,356800,7960,816
B120K,50.0,4,10,104.31,239962,479924,16784,1694
B120K,10.0,4,10,68.63,31810,63620,100,10
B120K,20.0,4,10,74.91,73958,147916,1074,94
B120K,30.0,4,10,81.77,122068,244136,3198,258
B120K,40.0,4,10,86.68,178400,356800,7960,816
B120K,50.0,4,10,93.88,239962,479924,16784,1694
B120K,10.0,4,10,70.01,31810,63620,100,10
B120K,20.0,4,10,78.94,73958,147916,1074,94
B120K,30.0,4,10,80.25,122068,244136,3198,258
B120K,40.0,4,10,93.91,178400,356800,7960,816
B120K,50.0,4,10,97.68,239962,479924,16784,1694
B120K,10.0,4,10,68.93,31810,63620,100,10
B120K,20.0,4,10,76.52,73958,147916,1074,94
B120K,30.0,4,10,81.49,122068,244136,3198,258
B120K,40.0,4,10,88.55,178400,356800,7960,816
B120K,50.0,4,10,96.39,239962,479924,16784,1694
B120K,10.0,4,10,70.07,31810,63620,100,10
B120K,20.0,4,10,75.17,73958,147916,1074,94
B120K,30.0,4,10,79.79,122068,244136,3198,258
B120K,40.0,4,10,90.23,178400,356800,7960,816
B120K,50.0,4,10,96.23,239962,479924,16784,1694
B180K,10.0,21,10,68.40,47715,95430,150,15
B180K,20.0,21,10,77.64,110937,221874,1611,141
B180K,30.0,21,10,84.01,183102,366204,4797,387
B180K,40.0,21,10,94.32,267600,535200,11940,1224
B180K,50.0,21,10,106.21,359943,719886,25176,2541
B180K,10.0,21,10,70.11,47715,95430,150,15
B180K,20.0,21,10,76.43,110937,221874,1611,141
B180K,30.0,21,10,85.69,183102,366204,4797,387
B180K,40.0,21,10,92.41,267600,535200,11940,1224
B180K,50.0,21,10,104.00,359943,719886,25176,2541
B180K,10.0,21,10,69.06,47715,95430,150,15
B180K,20.0,21,10,78.10,110937,221874,1611,141
B180K,30.0,21,10,85.04,183102,366204,4797,387
B180K,40.0,21,10,92.63,267600,535200,11940,1224
B180K,50.0,21,10,102.44,359943,719886,25176,2541
B180K,10.0,21,10,70.77,47715,95430,150,15
B180K,20.0,21,10,78.46,110937,221874,1611,141
B180K,30.0,21,10,83.57,183102,366204,4797,387
B180K,40.0,21,10,92.35,267600,535200,11940,1224
B180K,50.0,21,10,102.95,359943,719886,25176,2541
B180K,10.0,21,10,69.22,47715,95430,150,15
B180K,20.0,21,10,77.62,110937,221874,1611,141
B180K,30.0,21,10,84.14,183102,366204,4797,387
B180K,40.0,21,10,95.75,267600,535200,11940,1224
B180K,50.0,21,10,104.75,359943,719886,25176,2541
B240K,10.0,28,10,73.35,63620,127240,200,20
B240K,20.0,28,10,81.75,147916,295832,2148,188
B240K,30.0,28,10,91.43,244136,488272,6396,516
B240K,40.0,28,10,103.32,356800,713600,15920,1632
B240K,50.0,28,10,114.65,479924,959848,33568,3388
B240K,10.0,28,10,72.81,63620,127240,200,20
B240K,20.0,28,10,80.88,147916,295832,2148,188
B240K,30.0,28,10,91.19,244136,488272,6396,516
B240K,40.0,28,10,101.25,356800,713600,15920,1632
B240K,50.0,28,10,115.86,479924,959848,33568,3388
B240K,10.0,28,10,74.13,63620,127240,200,20
B240K,20.0,28,10,82.21,147916,295832,2148,188
B240K,30.0,28,10,88.82,244136,488272,6396,516
B240K,40.0,28,10,99.52,356800,713600,15920,1632
B240K,50.0,28,10,112.31,479924,959848,33568,3388
B240K,10.0,28,10,74.65,63620,127240,200,20
B240K,20.0,28,10,81.90,147916,295832,2148,188
B240K,30.0,28,10,89.84,244136,488272,6396,516
B240K,40.0,28,10,99.46,356800,713600,15920,1632
B240K,50.0,28,10,111.36,479924,959848,33568,3388
B240K,10.0,28,10,73.28,63620,127240,200,20
B240K,20.0,28,10,80.69,147916,295832,2148,188
B240K,30.0,28,10,91.34,244136,488272,6396,516
B240K,40.0,28,10,100.44,356800,713600,15920,1632
B240K,50.0,28,10,112.68,479924,959848,33568,3388
