Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,10.0,7,10,48.64,11241,22482,108,18
B20K,20.0,7,10,51.55,23832,47664,1491,110
B20K,30.0,7,10,56.02,36187,72374,3840,242
B20K,10.0,7,10,48.40,11241,22482,108,18
B20K,20.0,7,10,52.21,23832,47664,1491,110
B20K,30.0,7,10,55.82,36187,72374,3840,242
B20K,10.0,7,10,49.00,11241,22482,108,18
B20K,20.0,7,10,53.13,23832,47664,1491,110
B20K,30.0,7,10,56.46,36187,72374,3840,242
B40K,10.0,14,10,46.62,22482,44964,216,36
B40K,20.0,14,10,50.39,47664,95328,2982,220
B40K,30.0,14,10,52.36,72374,144748,7680,484
B40K,10.0,14,10,45.38,22482,44964,216,36
B40K,20.0,14,10,50.41,47664,95328,2982,220
B40K,30.0,14,10,52.81,72374,144748,7680,484
B40K,10.0,14,10,46.59,22482,44964,216,36
B40K,20.0,14,10,51.76,47664,95328,2982,220
B40K,30.0,14,10,52.77,72374,144748,7680,484
B60K,10.0,21,10,40.80,33723,67446,324,54
B60K,20.0,21,10,45.33,71496,142992,4473,330
B60K,30.0,21,10,47.73,108561,217122,11520,726
B60K,10.0,21,10,40.50,33723,67446,324,54
B60K,20.0,21,10,44.97,71496,142992,4473,330
B60K,30.0,21,10,47.89,108561,217122,11520,726
B60K,10.0,21,10,41.79,33723,67446,324,54
B60K,20.0,21,10,46.27,71496,142992,4473,330
B60K,30.0,21,10,48.33,108561,217122,11520,726
B80K,10.0,35,10,43.14,44964,89928,432,72
B80K,20.0,35,10,46.71,95328,190656,5964,440
B80K,30.0,35,10,48.62,144748,289496,15360,968
B80K,10.0,35,10,41.85,44964,89928,432,72
B80K,20.0,35,10,47.12,95328,190656,5964,440
B80K,30.0,35,10,48.69,144748,289496,15360,968
B80K,10.0,35,10,47.51,44964,89928,432,72
B80K,20.0,35,10,47.04,95328,190656,5964,440
B80K,30.0,35,10,50.90,144748,289496,15360,968
