Stage,Time,N,Epsilon,Node,Cores
03.Joining datasets,11.37,4912,20.0,1,14
01.Indexing Points,4.46,39428,20.0,1,14
02.Indexing Centers,3.12,95328,20.0,1,14
03.Joining datasets,11.62,4912,20.0,1,14
01.Indexing Points,4.64,39428,20.0,1,14
02.Indexing Centers,3.21,95328,20.0,1,14
03.Joining datasets,11.58,4912,20.0,1,14
01.Indexing Points,4.66,39428,20.0,1,14
02.Indexing Centers,3.17,95328,20.0,1,14
03.Joining datasets,11.58,4912,20.0,1,14
01.Indexing Points,4.56,39428,20.0,1,14
02.Indexing Centers,3.18,95328,20.0,1,14
03.Joining datasets,12.56,4912,20.0,1,14
01.Indexing Points,5.31,39428,20.0,1,14
02.Indexing Centers,3.18,95328,20.0,1,14
03.Joining datasets,11.53,4912,20.0,1,14
01.Indexing Points,4.42,39428,20.0,1,14
02.Indexing Centers,3.29,95328,20.0,1,14
03.Joining datasets,11.46,4912,20.0,1,14
01.Indexing Points,4.80,39428,20.0,1,14
02.Indexing Centers,3.24,95328,20.0,1,14
03.Joining datasets,11.78,4912,20.0,1,14
01.Indexing Points,5.34,59142,20.0,2,21
02.Indexing Centers,3.37,142992,20.0,2,21
03.Joining datasets,9.76,7368,20.0,2,21
01.Indexing Points,5.57,59142,20.0,2,21
02.Indexing Centers,3.44,142992,20.0,2,21
03.Joining datasets,9.58,7368,20.0,2,21
01.Indexing Points,5.73,59142,20.0,2,21
02.Indexing Centers,3.35,142992,20.0,2,21
03.Joining datasets,9.52,7368,20.0,2,21
01.Indexing Points,5.60,59142,20.0,2,21
02.Indexing Centers,3.24,142992,20.0,2,21
03.Joining datasets,9.71,7368,20.0,2,21
01.Indexing Points,5.64,59142,20.0,2,21
02.Indexing Centers,3.59,142992,20.0,2,21
03.Joining datasets,10.02,7368,20.0,2,21
01.Indexing Points,5.48,59142,20.0,2,21
02.Indexing Centers,3.32,142992,20.0,2,21
03.Joining datasets,9.85,7368,20.0,2,21
01.Indexing Points,5.39,59142,20.0,2,21
02.Indexing Centers,3.26,142992,20.0,2,21
03.Joining datasets,9.91,7368,20.0,2,21
01.Indexing Points,5.89,59142,20.0,2,21
02.Indexing Centers,3.34,142992,20.0,2,21
03.Joining datasets,9.60,7368,20.0,2,21
01.Indexing Points,5.88,59142,20.0,2,21
02.Indexing Centers,3.22,142992,20.0,2,21
03.Joining datasets,9.76,7368,20.0,2,21
01.Indexing Points,5.99,59142,20.0,2,21
02.Indexing Centers,3.40,142992,20.0,2,21
03.Joining datasets,9.20,7368,20.0,2,21
01.Indexing Points,7.77,78856,20.0,3,28
02.Indexing Centers,3.78,190656,20.0,3,28
03.Joining datasets,9.07,9824,20.0,3,28
01.Indexing Points,8.18,78856,20.0,3,28
02.Indexing Centers,5.28,190656,20.0,3,28
03.Joining datasets,9.41,9824,20.0,3,28
01.Indexing Points,8.48,78856,20.0,3,28
02.Indexing Centers,4.14,190656,20.0,3,28
03.Joining datasets,9.22,9824,20.0,3,28
01.Indexing Points,7.90,78856,20.0,3,28
02.Indexing Centers,5.15,190656,20.0,3,28
03.Joining datasets,9.25,9824,20.0,3,28
01.Indexing Points,7.07,78856,20.0,3,28
02.Indexing Centers,4.39,190656,20.0,3,28
03.Joining datasets,9.38,9824,20.0,3,28
01.Indexing Points,7.93,78856,20.0,3,28
02.Indexing Centers,4.18,190656,20.0,3,28
03.Joining datasets,9.52,9824,20.0,3,28
01.Indexing Points,6.84,78856,20.0,3,28
02.Indexing Centers,4.01,190656,20.0,3,28
03.Joining datasets,9.56,9824,20.0,3,28
01.Indexing Points,8.67,78856,20.0,3,28
02.Indexing Centers,4.46,190656,20.0,3,28
03.Joining datasets,9.43,9824,20.0,3,28
01.Indexing Points,7.93,78856,20.0,3,28
02.Indexing Centers,3.97,190656,20.0,3,28
03.Joining datasets,8.79,9824,20.0,3,28
01.Indexing Points,7.53,78856,20.0,3,28
02.Indexing Centers,5.77,190656,20.0,3,28
03.Joining datasets,9.80,9824,20.0,3,28
