Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B60K,10.0,7,10,66.91,15905,31810,50,5
B60K,20.0,7,10,71.48,36979,73958,537,47
B60K,30.0,7,10,75.41,61034,122068,1599,129
B60K,10.0,7,10,66.30,15905,31810,50,5
B60K,20.0,7,10,73.20,36979,73958,537,47
B60K,30.0,7,10,75.94,61034,122068,1599,129
B60K,10.0,7,10,66.20,15905,31810,50,5
B60K,20.0,7,10,70.67,36979,73958,537,47
B60K,30.0,7,10,75.66,61034,122068,1599,129
B120K,10.0,14,10,51.71,31810,63620,100,10
B120K,20.0,14,10,57.27,73958,147916,1074,94
B120K,30.0,14,10,60.48,122068,244136,3198,258
B120K,10.0,14,10,52.89,31810,63620,100,10
B120K,20.0,14,10,56.05,73958,147916,1074,94
B120K,30.0,14,10,59.01,122068,244136,3198,258
B120K,10.0,14,10,53.42,31810,63620,100,10
B120K,20.0,14,10,57.20,73958,147916,1074,94
B120K,30.0,14,10,59.65,122068,244136,3198,258
B180K,10.0,21,10,47.90,47715,95430,150,15
B180K,20.0,21,10,51.51,110937,221874,1611,141
B180K,30.0,21,10,54.88,183102,366204,4797,387
B180K,10.0,21,10,47.62,47715,95430,150,15
B180K,20.0,21,10,51.30,110937,221874,1611,141
B180K,30.0,21,10,54.17,183102,366204,4797,387
B180K,10.0,21,10,46.44,47715,95430,150,15
B180K,20.0,21,10,51.57,110937,221874,1611,141
B180K,30.0,21,10,55.38,183102,366204,4797,387
B240K,10.0,35,10,49.42,63620,127240,200,20
B240K,20.0,35,10,55.78,147916,295832,2148,188
B240K,30.0,35,10,59.35,244136,488272,6396,516
B240K,10.0,35,10,48.80,63620,127240,200,20
B240K,20.0,35,10,52.87,147916,295832,2148,188
B240K,30.0,35,10,59.06,244136,488272,6396,516
B240K,10.0,35,10,49.41,63620,127240,200,20
B240K,20.0,35,10,54.53,147916,295832,2148,188
B240K,30.0,35,10,75.62,244136,488272,6396,516
