Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B60K,10.0,7,10,59.12,15905,31810,50,5
B60K,20.0,7,10,63.07,36979,73958,537,47
B60K,30.0,7,10,67.27,61034,122068,1599,129
B60K,10.0,7,10,57.65,15905,31810,50,5
B60K,20.0,7,10,63.24,36979,73958,537,47
B60K,30.0,7,10,66.99,61034,122068,1599,129
B60K,10.0,7,10,60.05,15905,31810,50,5
B60K,20.0,7,10,62.72,36979,73958,537,47
B60K,30.0,7,10,68.77,61034,122068,1599,129
B120K,10.0,14,10,54.91,31810,63620,100,10
B120K,20.0,14,10,57.63,73958,147916,1074,94
B120K,30.0,14,10,63.14,122068,244136,3198,258
B120K,10.0,14,10,54.59,31810,63620,100,10
B120K,20.0,14,10,60.11,73958,147916,1074,94
B120K,30.0,14,10,61.75,122068,244136,3198,258
B120K,10.0,14,10,56.26,31810,63620,100,10
B120K,20.0,14,10,58.81,73958,147916,1074,94
B120K,30.0,14,10,63.53,122068,244136,3198,258
B180K,10.0,21,10,47.41,47715,95430,150,15
B180K,20.0,21,10,51.29,110937,221874,1611,141
B180K,30.0,21,10,54.42,183102,366204,4797,387
B180K,10.0,21,10,47.19,47715,95430,150,15
B180K,20.0,21,10,52.38,110937,221874,1611,141
B180K,30.0,21,10,55.17,183102,366204,4797,387
B180K,10.0,21,10,48.14,47715,95430,150,15
B180K,20.0,21,10,52.15,110937,221874,1611,141
B180K,30.0,21,10,57.40,183102,366204,4797,387
B240K,10.0,35,10,47.72,63620,127240,200,20
B240K,20.0,35,10,54.67,147916,295832,2148,188
B240K,30.0,35,10,58.30,244136,488272,6396,516
B240K,10.0,35,10,49.10,63620,127240,200,20
B240K,20.0,35,10,52.66,147916,295832,2148,188
B240K,30.0,35,10,58.00,244136,488272,6396,516
B240K,10.0,35,10,50.48,63620,127240,200,20
B240K,20.0,35,10,54.92,147916,295832,2148,188
B240K,30.0,35,10,56.70,244136,488272,6396,516
