Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B60K,30.0,7,10,64.20,61034,122068,1599,129
B60K,20.0,7,10,59.12,36979,73958,537,47
B60K,10.0,7,10,54.45,15905,31810,50,5
B60K,30.0,7,10,63.05,61034,122068,1599,129
B60K,20.0,7,10,59.04,36979,73958,537,47
B60K,10.0,7,10,54.25,15905,31810,50,5
B60K,30.0,7,10,63.71,61034,122068,1599,129
B60K,20.0,7,10,57.93,36979,73958,537,47
B60K,10.0,7,10,54.14,15905,31810,50,5
B120K,30.0,14,10,63.81,122068,244136,3198,258
B120K,20.0,14,10,60.39,73958,147916,1074,94
B120K,10.0,14,10,55.35,31810,63620,100,10
B120K,30.0,14,10,62.39,122068,244136,3198,258
B120K,20.0,14,10,59.20,73958,147916,1074,94
B120K,10.0,14,10,55.74,31810,63620,100,10
B120K,30.0,14,10,62.44,122068,244136,3198,258
B120K,20.0,14,10,58.80,73958,147916,1074,94
B120K,10.0,14,10,54.49,31810,63620,100,10
B180K,30.0,21,10,54.64,183102,366204,4797,387
B180K,20.0,21,10,52.80,110937,221874,1611,141
B180K,10.0,21,10,47.96,47715,95430,150,15
B180K,30.0,21,10,55.82,183102,366204,4797,387
B180K,20.0,21,10,51.95,110937,221874,1611,141
B180K,10.0,21,10,48.06,47715,95430,150,15
B180K,30.0,21,10,55.38,183102,366204,4797,387
B180K,20.0,21,10,51.13,110937,221874,1611,141
B180K,10.0,21,10,47.44,47715,95430,150,15
B240K,30.0,28,10,57.84,244136,488272,6396,516
B240K,20.0,28,10,53.22,147916,295832,2148,188
B240K,10.0,28,10,48.73,63620,127240,200,20
B240K,30.0,28,10,58.89,244136,488272,6396,516
B240K,20.0,28,10,53.78,147916,295832,2148,188
B240K,10.0,28,10,49.02,63620,127240,200,20
B240K,30.0,28,10,58.98,244136,488272,6396,516
B240K,20.0,28,10,53.49,147916,295832,2148,188
B240K,10.0,28,10,49.36,63620,127240,200,20
