PBFE,6.0,1M,1510672,33.598
PBFE,7.0,1M,2202958,35.708
PBFE,8.0,1M,2821060,35.233
PBFE,9.0,1M,3487454,28.33
PBFE,10.0,1M,4262474,29.974
PBFE,6.0,2M,6035050,41.838
PBFE,7.0,2M,8807282,40.696
PBFE,8.0,2M,11276418,39.805
PBFE,9.0,2M,13939396,35.945
PBFE,10.0,2M,17038696,41.155
PBFE,6.0,4M,24126164,40.033
PBFE,7.0,4M,35219890,42.151
PBFE,8.0,4M,45089312,44.684
PBFE,9.0,4M,55722874,43.156
PBFE,10.0,4M,68121160,43.075
PBFE,6.0,8M,96448754,64.303
PBFE,7.0,8M,140755352,63.141
PBFE,8.0,8M,180170340,65.582
PBFE,9.0,8M,222665686,65.814
PBFE,10.0,8M,272195122,73.002
PBFE,6.0,16M,385416154,229.861
PBFE,7.0,16M,562460534,537.714
PBFE,8.0,16M,719924862,1255.36
PBFE,9.0,16M,889713766,566.819
PBFE,10.0,16M,1087550848,2052.915
