PFlock,10.0,160K,61.95,7.928,69.878,229234,117196,28,1024,11:42:59.003
PFlock,20.0,160K,46.609,10.254,56.863,531344,370689,28,1024,11:44:02.328
PFlock,30.0,160K,56.989,12.632,69.621,879724,703992,28,1024,11:45:25.897
PFlock,40.0,160K,62.338,15.099,77.437,1281430,1106673,28,1024,11:47:02.392
PFlock,50.0,160K,76.495,18.155,94.65,1720770,1554131,28,1024,11:49:04.827
PFlock,60.0,160K,93.164,21.368,114.532,2200784,2045913,28,1024,11:51:43.894
PFlock,70.0,160K,96.695,24.69,121.385,2723892,2582300,28,1024,11:54:44.595
PFlock,80.0,160K,104.925,26.873,131.798,3293358,3165405,28,1024,11:58:13.597
PFlock,90.0,160K,130.646,34.166,164.812,3914498,3800090,28,1024,12:02:39.108
PFlock,100.0,160K,130.666,39.744,170.41,4599964,4498855,28,1024,12:07:34.371
