PFlock,10.0,160K,68.127,9.126,77.253,229234,117196,28,529,12:11:37.745
PFlock,20.0,160K,59.46,11.948,71.408,531344,370689,28,529,12:12:55.746
PFlock,30.0,160K,52.039,13.023,65.062,879724,703992,28,529,12:14:12.076
PFlock,40.0,160K,56.482,14.35,70.832,1281430,1106673,28,529,12:15:41.251
PFlock,50.0,160K,66.059,17.206,83.265,1720770,1554131,28,529,12:17:32.429
PFlock,60.0,160K,79.826,21.618,101.444,2200784,2045913,28,529,12:19:53.307
PFlock,70.0,160K,84.444,25.886,110.33,2723892,2582300,28,529,12:22:49.598
PFlock,80.0,160K,101.515,29.455,130.97,3293358,3165405,28,529,12:26:23.716
PFlock,90.0,160K,108.006,42.408,150.414,3914498,3800090,28,529,12:30:30.956
PFlock,100.0,160K,135.709,39.709,175.418,4599964,4498855,28,529,12:35:44.466
