PFlock,10.0,160K,52.02,7.47,59.49,229234,7135,28,256,16:57:04.118
PFlock,20.0,160K,44.822,9.652,54.474,531344,41314,28,256,16:58:00.705
PFlock,30.0,160K,46.284,10.232,56.516,879724,118304,28,256,16:59:00.349
PFlock,40.0,160K,52.659,12.717,65.376,1281430,271297,28,256,17:00:10.737
PFlock,50.0,160K,70.644,19.725,90.369,1720770,502989,28,256,17:01:50.465
PFlock,60.0,160K,67.569,22.911,90.48,2200784,815071,28,256,17:03:37.359
PFlock,70.0,160K,80.324,26.287,106.611,2723892,1211964,28,256,17:05:51.297
PFlock,80.0,160K,88.676,32.719,121.395,3293358,1694406,28,256,17:08:40.381
PFlock,90.0,160K,98.91,30.639,129.549,3914498,2267421,28,256,17:11:55.667
PFlock,100.0,160K,115.817,36.352,152.169,4599964,2936755,28,256,17:15:58.155
