PBFE3,2,20K,7.164
PBFE3,4,20K,7.549
PBFE3,6,20K,6.923
PBFE3,8,20K,6.823
PBFE3,10,20K,7.236
PBFE3,2,30K,7.935
PBFE3,4,30K,7.716
PBFE3,6,30K,8.097
PBFE3,8,30K,7.51
PBFE3,10,30K,8.72
PBFE3,2,40K,8.352
PBFE3,4,40K,8.607
PBFE3,6,40K,8.428
PBFE3,8,40K,8.621
PBFE3,10,40K,8.308
PBFE3,2,50K,8.944
PBFE3,4,50K,9.773
PBFE3,6,50K,9.61
PBFE3,8,50K,9.424
PBFE3,10,50K,9.76
PBFE3,2,60K,9.519
PBFE3,4,60K,9.922
PBFE3,6,60K,9.561
PBFE3,8,60K,10.157
PBFE3,10,60K,10.307
PBFE3,2,70K,10.814
PBFE3,4,70K,10.039
PBFE3,6,70K,10.654
PBFE3,8,70K,10.774
PBFE3,10,70K,12.97
PBFE3,2,80K,11.382
PBFE3,4,80K,11.258
PBFE3,6,80K,11.187
PBFE3,8,80K,11.62
PBFE3,10,80K,36.165
