PBFE,1.0,8M,72551374,94.488
PBFE,2.0,8M,144053304,105.411
PBFE,3.0,8M,214894570,116.807
PBFE,4.0,8M,375341132,150.022
PBFE,5.0,8M,504743946,182.332
PBFE,1.0,10M,113386218,106.057
PBFE,2.0,10M,225121794,137.215
PBFE,3.0,10M,335826400,168.282
PBFE,4.0,10M,586623300,182.75
PBFE,5.0,10M,788886082,213.734
PBFE,1.0,12M,163333498,140.147
PBFE,2.0,12M,324281116,172.419
PBFE,3.0,12M,483744068,198.353
PBFE,4.0,12M,844953516,245.233
PBFE,5.0,12M,1136279524,312.351
PBFE,1.0,14M,222287480,149.582
PBFE,2.0,14M,441373662,176.832
PBFE,3.0,14M,658420116,230.453
PBFE,4.0,14M,1150107378,293.63
PBFE,5.0,14M,1546682038,375.173
PBFE,1.0,16M,290546758,183.776
PBFE,2.0,16M,576859090,203.048
PBFE,3.0,16M,860471880,258.092
PBFE,4.0,16M,1502905828,369.39
PBFE,5.0,16M,2021139056,445.408
