Dataset,Epsilon,Cores,Mu,Time,NPairs,NCenters,NDisks,NMaximals
B20K,30.0,7,25,63.18,36174,72348,24,4
B20K,40.0,7,25,65.47,49403,98806,278,18
B20K,50.0,7,25,67.74,62752,125504,958,32
B20K,60.0,7,25,70.57,77143,154286,1594,62
B20K,30.0,7,25,67.56,36174,72348,24,4
B20K,40.0,7,25,64.27,49403,98806,278,18
B20K,50.0,7,25,73.22,62752,125504,958,32
B20K,60.0,7,25,71.20,77143,154286,1594,62
B20K,30.0,7,25,62.36,36174,72348,24,4
B20K,40.0,7,25,72.09,49403,98806,278,18
B20K,50.0,7,25,66.62,62752,125504,958,32
B20K,60.0,7,25,77.43,77143,154286,1594,62
B20K,30.0,7,25,66.88,36174,72348,24,4
B20K,40.0,7,25,64.59,49403,98806,278,18
B20K,50.0,7,25,66.93,62752,125504,958,32
B20K,60.0,7,25,72.44,77143,154286,1594,62
B20K,30.0,7,25,60.41,36174,72348,24,4
B20K,40.0,7,25,69.27,49403,98806,278,18
B20K,50.0,7,25,73.86,62752,125504,958,32
B20K,60.0,7,25,77.44,77143,154286,1594,62
B40K,30.0,14,25,49.45,72348,144696,48,8
B40K,40.0,14,25,50.02,98806,197612,556,37
B40K,50.0,14,25,61.34,125504,251008,1916,64
B40K,60.0,14,25,59.78,154285,308570,3188,108
B40K,30.0,14,25,47.43,72348,144696,48,8
B40K,40.0,14,25,49.45,98806,197612,556,37
B40K,50.0,14,25,58.10,125504,251008,1916,64
B40K,60.0,14,25,67.55,154285,308570,3188,108
B40K,30.0,14,25,56.63,72348,144696,48,8
B40K,40.0,14,25,56.22,98806,197612,556,37
B40K,50.0,14,25,60.67,125504,251008,1916,64
B40K,60.0,14,25,65.75,154285,308570,3188,108
B40K,30.0,14,25,48.00,72348,144696,48,8
B40K,40.0,14,25,50.13,98806,197612,556,37
B40K,50.0,14,25,61.11,125504,251008,1916,64
B40K,60.0,14,25,63.09,154285,308570,3188,108
B40K,30.0,14,25,48.45,72348,144696,48,8
B40K,40.0,14,25,49.79,98806,197612,556,37
B40K,50.0,14,25,52.18,125504,251008,1916,64
B40K,60.0,14,25,59.08,154285,308570,3188,108
B60K,30.0,21,25,48.49,108522,217044,72,12
B60K,40.0,21,25,60.27,148209,296418,834,52
B60K,50.0,21,25,54.20,188256,376512,2874,97
B60K,60.0,21,25,63.76,231427,462854,4782,167
B60K,30.0,21,25,49.22,108522,217044,72,12
B60K,40.0,21,25,52.74,148209,296418,834,52
B60K,50.0,21,25,62.62,188256,376512,2874,97
B60K,60.0,21,25,63.92,231427,462854,4782,167
B60K,30.0,21,25,49.74,108522,217044,72,12
B60K,40.0,21,25,53.75,148209,296418,834,52
B60K,50.0,21,25,63.72,188256,376512,2874,97
B60K,60.0,21,25,66.39,231427,462854,4782,167
B60K,30.0,21,25,59.27,108522,217044,72,12
B60K,40.0,21,25,52.73,148209,296418,834,52
B60K,50.0,21,25,62.24,188256,376512,2874,97
B60K,60.0,21,25,67.93,231427,462854,4782,167
B60K,30.0,21,25,58.24,108522,217044,72,12
B60K,40.0,21,25,50.07,148209,296418,834,52
B60K,50.0,21,25,56.02,188256,376512,2874,97
B60K,60.0,21,25,66.65,231427,462854,4782,167
B80K,30.0,28,25,57.30,144696,289392,96,16
B80K,40.0,28,25,70.17,197612,395224,1112,69
B80K,50.0,28,25,64.10,251008,502016,3832,129
B80K,60.0,28,25,70.43,308569,617138,6376,210
B80K,30.0,28,25,67.67,144696,289392,96,16
B80K,40.0,28,25,61.67,197612,395224,1112,69
B80K,50.0,28,25,70.59,251008,502016,3832,129
B80K,60.0,28,25,68.95,308569,617138,6376,210
B80K,30.0,28,25,65.38,144696,289392,96,16
B80K,40.0,28,25,60.41,197612,395224,1112,69
B80K,50.0,28,25,63.28,251008,502016,3832,129
B80K,60.0,28,25,71.77,308569,617138,6376,210
B80K,30.0,28,25,56.54,144696,289392,96,16
B80K,40.0,28,25,58.99,197612,395224,1112,69
B80K,50.0,28,25,72.94,251008,502016,3832,129
B80K,60.0,28,25,71.51,308569,617138,6376,210
B80K,30.0,28,25,55.65,144696,289392,96,16
B80K,40.0,28,25,60.29,197612,395224,1112,69
B80K,50.0,28,25,64.03,251008,502016,3832,129
B80K,60.0,28,25,69.43,308569,617138,6376,210
