2017-11-29 12:04:23,218 ->         B60K,  40.0,    21, 25,  52.73,  148209,    296418,          834,         52
2017-11-29 12:05:40,748 ->         B60K,  50.0,    21, 25,  62.24,  188256,    376512,         2874,         97
2017-11-29 12:07:03,758 ->         B60K,  60.0,    21, 25,  67.93,  231427,    462854,         4782,        167
2017-11-29 12:08:17,363 ->         B60K,  30.0,    21, 25,  58.24,  108522,    217044,           72,         12
2017-11-29 12:09:21,324 ->         B60K,  40.0,    21, 25,  50.07,  148209,    296418,          834,         52
2017-11-29 12:10:31,152 ->         B60K,  50.0,    21, 25,  56.02,  188256,    376512,         2874,         97
2017-11-29 12:11:51,396 ->         B60K,  60.0,    21, 25,  66.65,  231427,    462854,         4782,        167
2017-11-29 12:13:08,281 ->         B80K,  30.0,    28, 25,  57.30,  144696,    289392,           96,         16
2017-11-29 12:14:34,098 ->         B80K,  40.0,    28, 25,  70.17,  197612,    395224,         1112,         69
2017-11-29 12:15:52,261 ->         B80K,  50.0,    28, 25,  64.10,  251008,    502016,         3832,        129
2017-11-29 12:17:16,322 ->         B80K,  60.0,    28, 25,  70.43,  308569,    617138,         6376,        210
2017-11-29 12:18:40,820 ->         B80K,  30.0,    28, 25,  67.67,  144696,    289392,           96,         16
2017-11-29 12:19:56,261 ->         B80K,  40.0,    28, 25,  61.67,  197612,    395224,         1112,         69
2017-11-29 12:21:22,329 ->         B80K,  50.0,    28, 25,  70.59,  251008,    502016,         3832,        129
2017-11-29 12:22:45,165 ->         B80K,  60.0,    28, 25,  68.95,  308569,    617138,         6376,        210
2017-11-29 12:24:07,108 ->         B80K,  30.0,    28, 25,  65.38,  144696,    289392,           96,         16
2017-11-29 12:25:21,178 ->         B80K,  40.0,    28, 25,  60.41,  197612,    395224,         1112,         69
2017-11-29 12:26:38,452 ->         B80K,  50.0,    28, 25,  63.28,  251008,    502016,         3832,        129
2017-11-29 12:28:04,118 ->         B80K,  60.0,    28, 25,  71.77,  308569,    617138,         6376,        210
2017-11-29 12:29:14,621 ->         B80K,  30.0,    28, 25,  56.54,  144696,    289392,           96,         16
2017-11-29 12:30:27,353 ->         B80K,  40.0,    28, 25,  58.99,  197612,    395224,         1112,         69
2017-11-29 12:31:56,971 ->         B80K,  50.0,    28, 25,  72.94,  251008,    502016,         3832,        129
2017-11-29 12:33:22,469 ->         B80K,  60.0,    28, 25,  71.51,  308569,    617138,         6376,        210
2017-11-29 12:34:32,002 ->         B80K,  30.0,    28, 25,  55.65,  144696,    289392,           96,         16
2017-11-29 12:35:46,260 ->         B80K,  40.0,    28, 25,  60.29,  197612,    395224,         1112,         69
2017-11-29 12:37:04,209 ->         B80K,  50.0,    28, 25,  64.03,  251008,    502016,         3832,        129
2017-11-29 12:38:27,575 ->         B80K,  60.0,    28, 25,  69.43,  308569,    617138,         6376,        210
