PBFE,1.0,8M,0,74.727
PBFE,2.0,8M,7584800,68.986
PBFE,3.0,8M,20749594,73.256
PBFE,4.0,8M,41929792,76.061
PBFE,5.0,8M,75190236,78.977
PBFE,1.0,10M,0,84.212
PBFE,2.0,10M,12572644,85.899
PBFE,3.0,10M,32929090,87.115
PBFE,4.0,10M,66021148,91.242
PBFE,5.0,10M,117944356,100.935
PBFE,1.0,12M,0,96.351
PBFE,2.0,12M,18981496,100.971
PBFE,3.0,12M,48051722,106.582
PBFE,4.0,12M,95682390,112.914
PBFE,5.0,12M,170389010,122.216
PBFE,1.0,14M,0,119.417
PBFE,2.0,14M,26432732,124.257
PBFE,3.0,14M,65834788,131.095
PBFE,4.0,14M,130708160,142.639
PBFE,5.0,14M,232420624,160.426
PBFE,1.0,16M,0,142.278
PBFE,2.0,16M,34721212,141.793
PBFE,3.0,16M,86160738,160.188
PBFE,4.0,16M,170946176,165.367
PBFE,5.0,16M,303843356,324.251
