id,lon,lat
5932,-328386.229345,4472732.68779
6638,-325276.040049,4472892.0732
6386,-327917.056774,4473083.57011
6295,-328878.744448,4473125.47915
2872,-327874.28498,4469229.628380001
8103,-337954.16507600003,4475833.5670300005
4386,-313619.59668,4470115.78157
10599,-349974.97542800003,4511313.17767
1956,-337555.79703099997,4467281.31039
8023,-326375.223021,4474397.899130001
10741,-266710.161115,4513844.94266
3704,-327037.718348,4470990.3007
9245,-319926.363423,4476585.753740001
3273,-318169.729348,4469284.31238
7822,-326665.402752,4474134.11323
5304,-329279.072595,4472304.1323
5554,-329422.477817,4472543.69009
3279,-319289.233955,4469417.76046
74,-315116.358465,4428601.690880001
8184,-322229.882601,4474183.27843
1097,-326674.40596199996,4462924.39384
4595,-328331.482545,4471910.10616
8083,-328370.98456,4474729.27025
9231,-301931.04631199996,4474570.95031
4580,-326993.460963,4471749.34045
8314,-331673.158308,4475331.38908
10330,-329714.788179,4487448.020819999
1720,-312715.539711,4463560.56539
999,-324517.204674,4461867.80954
339,-332529.691134,4455708.21287
1204,-324112.880161,4462992.75526
7946,-326765.8116,4474310.4711
9484,-325362.43251,4478387.49643
6952,-317779.532764,4472247.318080001
605,-333744.983508,4460183.76004
932,-320653.594286,4460876.14369
6507,-325925.05260500003,4472915.3603300005
6658,-325986.95175999997,4472976.58182
729,-314569.965165,4458517.24753
10415,-311901.406508,4490141.1166199995
5014,-327206.600196,4471967.37355
8386,-323637.814304,4474578.85718
489,-320948.99984,4457845.472159999
1081,-326709.06728,4462806.27288
10129,-325730.794198,4483032.45523
9696,-319218.11816799996,4479741.38145
10531,-306049.737754,4499984.2805699995
7074,-328883.56015,4473523.5473
10695,-297991.371233,4512190.36063
5441,-328263.194188,4472310.92109
6153,-316335.902871,4471587.39729
9476,-314216.38827399997,4477149.25298
9313,-324778.313487,4477548.28204
5387,-329293.887337,4472384.986269999
9767,-281629.65533800004,4476144.44451
6636,-325293.387985,4472891.89719
8648,-326732.733249,4475440.024680001
734,-325616.650502,4459738.4683300005
167,-346286.228425,4447580.026380001
8582,-322538.764883,4474857.28615
5172,-326687.942779,4471936.71048
568,-334249.44954299997,4460075.52786
7202,-329123.763914,4473677.336490001
354,-329807.701219,4455816.38191
7615,-328609.20001599996,4474014.18659
5557,-326563.57666900003,4472233.94481
10796,-347460.451711,4538735.65005
6322,-313492.994488,4471479.33495
3175,-330099.602681,4470321.07316
5260,-326193.19474899996,4471917.82219
1576,-316867.61799899995,4463300.69199
4970,-326906.412362,4471926.98394
1009,-323836.62650199997,4461847.455630001
2259,-318731.384098,4466238.31241
6361,-331601.028734,4473473.732969999
3841,-321852.610271,4470493.23773
5043,-326682.89337600005,4471914.756130001
6558,-324546.33173800004,4472780.23778
6065,-316371.85096999997,4471515.27831
954,-322407.303181,4461292.07236
7092,-328874.19162600004,4473531.53047
3249,-323987.456014,4469852.050430001
8119,-325053.220725,4474434.83873
2783,-329344.895118,4469134.35176
7731,-321002.997904,4473349.65176
6170,-324463.48629699997,4472499.521869999
4496,-327159.149774,4471731.48566
3208,-317793.76128800004,4469067.955519999
1790,-317528.52839,4464424.64949
2350,-319487.49913400004,4466672.7663
867,-322276.223557,4460330.06563
7116,-316438.383013,4472190.53086
3473,-329301.076507,4471072.28855
2169,-325821.464933,4466848.85977
7511,-326874.16513000004,4473761.16122
655,-314481.200336,4458216.90453
1550,-304818.710293,4461950.18399
4675,-326583.487834,4471801.59822
8788,-326847.980302,4475666.45249
5212,-326073.359091,4471883.64925
213,-328490.293855,4450053.46366
7264,-313354.60852,4472037.16807
2258,-314125.38482,4465741.10783
6524,-324724.439659,4472789.21794
3034,-319948.869974,4468822.67203
6228,-326456.383716,4472802.86055
2938,-286681.094185,4464982.42516
5084,-326422.25123,4471891.52238
1402,-324455.388029,4463865.611190001
1683,-326086.51500300004,4464766.635290001
1107,-329513.856077,4463249.71347
1492,-316524.300467,4463106.251
9486,-327478.10128400003,4478629.09652
9334,-317472.44228099997,4476789.622140001
1598,-325803.29186500004,4464322.28988
10029,-318159.000565,4481857.68127
4318,-327182.029802,4471517.83219
8383,-319418.36646399996,4474111.127640001
5154,-326696.382824,4471932.52057
214,-254743.73360300003,4442493.96292
3893,-328663.667893,4471257.710419999
6056,-326239.05205500004,4472583.689180001
3003,-316372.015953,4468361.76129
6929,-329236.386651,4473481.71055
8426,-325215.880475,4474845.24141
1387,-325859.231976,4464007.00793
924,-330246.043489,4461836.23724
9270,-324862.298329,4477282.22265
1921,-330727.698028,4466444.41413
