"pids","lng1","lat1","lng","lat","optional"
"61,63,65",116.326797323665,39.9790634540107,116.326797323665,39.9790634540107,TRUE
"63,65,67",116.327034521385,39.9793778761337,116.327034521385,39.9793778761337,TRUE
"69,71,73",116.327433964215,39.9809382698203,116.327433964215,39.9809382698203,TRUE
"40,44,45",116.328931559354,39.9757882515319,116.328931559354,39.9757882515319,TRUE
"70,72,75",116.32882370221,39.9811524718638,116.32882370221,39.9811524718638,TRUE
"84,86,87",116.330787849084,39.9850554152049,116.330787849084,39.9850554152049,TRUE
"41,43,46",116.331048753013,39.9759012896271,116.331048753013,39.9759012896271,TRUE
"32,38,41,43",116.331136790759,39.9756684929381,116.331136790759,39.9756684929381,TRUE
"28,31,34,40",116.329583821955,39.9751699979493,116.329583821955,39.9751699979493,TRUE
"79,80,81,82",116.326852504503,39.9825174391103,116.326852504503,39.9825174391103,TRUE
"29,35,36,42",116.33313880579,39.9754255657823,116.33313880579,39.9754255657823,TRUE
"28,31,32,34,38",116.330279326237,39.975115225274,116.330279326237,39.975115225274,TRUE
"31,32,34,38,41",116.330315600408,39.9755384047534,116.330315600408,39.9755384047534,TRUE
"12,13,14,15,16,17,19,21",116.334296072744,39.9736775649526,116.334296072744,39.9736775649526,TRUE
"10,12,13,14,15,16,17,19",116.334237452875,39.97350677417,116.334237452875,39.97350677417,TRUE
"10,11,12,13,14,15,17,19",116.334102579757,39.9734596821517,116.334102579757,39.9734596821517,TRUE
