"did","pid"
1,27
1,37
2,27
2,37
3,24
3,33
4,24
4,33
5,30
5,39
6,1
6,2
7,1
7,2
8,30
8,39
9,61
9,63
10,63
10,65
11,65
11,67
12,61
12,63
12,65
13,80
13,82
14,63
14,65
14,67
15,79
15,80
16,85
16,88
17,83
17,85
18,80
18,81
18,82
19,79
19,80
19,81
20,79
20,80
20,81
20,82
21,63
21,65
21,67
22,61
22,63
22,65
23,69
23,71
24,79
24,80
24,81
25,69
25,71
25,73
26,80
26,81
26,82
27,65
27,67
28,71
28,73
29,61
29,63
30,63
30,65
31,79
31,80
31,81
31,82
32,69
32,71
32,73
33,69
33,71
33,73
34,83
34,85
35,80
35,81
35,82
36,22
36,26
37,81
37,82
38,44
38,45
39,79
39,80
39,81
40,85
40,88
41,55
41,57
42,79
42,81
43,40
43,44
44,40
44,44
44,45
45,22
45,26
46,73
46,75
47,31
47,40
48,28
48,31
49,69
49,73
50,28
50,31
50,40
51,73
51,75
52,55
52,57
53,70
53,75
54,28
54,31
54,34
54,40
55,28
55,31
55,34
55,40
56,40
56,44
56,45
57,40
57,44
57,45
58,40
58,45
59,70
59,72
59,75
60,70
60,72
60,75
61,31
61,34
61,40
62,28
62,31
62,34
62,40
63,34
63,40
64,31
64,34
64,40
65,28
65,31
65,34
65,38
66,31
66,34
66,38
67,28
67,31
67,32
67,34
67,38
68,28
68,31
68,32
68,34
68,38
69,31
69,34
69,38
69,41
70,28
70,31
70,34
71,31
71,32
71,34
71,38
71,41
72,34
72,38
72,41
73,34
73,41
74,28
74,31
74,32
74,34
75,31
75,32
75,34
75,38
75,41
76,34
76,38
76,41
77,72
77,75
78,70
78,72
78,75
79,28
79,32
79,34
80,28
80,31
80,32
80,34
80,38
81,28
81,32
82,28
82,32
82,34
83,28
83,32
83,34
83,38
84,28
84,31
84,32
84,34
84,38
85,32
85,34
85,38
86,31
86,32
86,34
86,38
86,41
87,32
87,34
87,38
87,41
88,70
88,72
89,41
89,46
90,32
90,34
90,38
90,41
91,41
91,43
91,46
92,38
92,41
92,43
93,41
93,43
93,46
94,32
94,38
94,41
94,43
95,32
95,38
95,41
96,32
96,38
96,41
96,43
97,32
97,38
97,41
97,43
98,41
98,43
98,46
99,32
99,41
99,43
100,32
100,41
101,41
101,43
102,43
102,46
103,84
103,87
104,51
104,52
105,84
105,86
105,87
106,84
106,86
106,87
107,84
107,86
108,84
108,86
108,87
109,52
109,58
110,51
110,52
111,29
111,36
112,11
112,19
113,36
113,42
114,29
114,35
114,36
115,35
115,36
115,42
116,86
116,87
117,10
117,11
118,29
118,35
118,36
118,42
119,10
119,11
119,19
120,52
120,58
121,10
121,11
121,14
121,19
122,10
122,11
122,14
122,19
123,42
123,47
124,10
124,11
124,14
124,15
124,19
125,10
125,11
125,14
125,15
125,19
126,29
126,35
126,36
127,10
127,11
127,14
127,15
127,17
127,19
128,11
128,14
128,19
129,11
129,14
129,15
129,19
130,11
130,14
130,15
130,17
130,19
131,10
131,11
131,14
131,15
131,17
131,19
132,14
132,15
132,17
132,19
133,14
133,17
133,19
134,10
134,11
134,12
134,14
134,15
134,17
134,19
135,10
135,11
135,12
135,14
135,15
135,17
136,35
136,36
136,42
137,14
137,15
137,17
137,19
138,10
138,11
138,14
139,10
139,11
139,12
139,14
139,15
140,10
140,11
140,12
140,14
141,10
141,11
141,12
141,14
141,15
142,10
142,11
142,12
142,14
142,15
142,17
142,19
143,11
143,12
143,14
143,15
143,17
143,19
144,10
144,11
144,12
144,14
144,15
144,17
144,19
145,10
145,12
145,14
146,10
146,11
146,12
146,13
146,14
146,15
146,17
146,19
147,10
147,11
147,12
147,14
147,15
147,17
148,10
148,11
148,12
148,13
148,14
148,15
148,17
149,10
149,12
149,13
149,14
149,15
149,17
150,10
150,11
150,12
150,13
150,14
150,15
150,17
150,19
151,10
151,11
151,12
151,13
151,14
151,15
151,17
151,19
152,10
152,12
152,13
152,14
152,15
152,17
152,19
153,10
153,12
153,13
153,14
153,15
154,10
154,12
154,13
154,14
155,29
155,35
155,36
155,42
156,10
156,12
156,13
156,14
156,15
156,16
156,17
156,19
157,29
157,35
157,36
158,35
158,36
158,42
159,10
159,12
159,13
159,14
159,15
159,16
159,17
159,19
160,42
160,47
161,12
161,13
161,14
161,15
161,16
161,17
161,19
162,14
162,15
162,17
162,19
162,21
163,12
163,14
163,15
163,17
163,19
163,21
164,12
164,14
164,15
164,16
164,17
164,19
164,21
165,10
165,12
165,13
165,14
165,15
165,16
165,17
165,19
166,15
166,17
166,19
166,21
167,12
167,13
167,14
167,15
167,16
167,17
