"id","lng1","lat1","lng","lat","optional"
1,116.33364788084,39.9752925537123,116.33364788084,39.9752925537123,TRUE
2,116.333532118883,39.9755960904992,116.333532118883,39.9755960904992,TRUE
3,116.330961782478,39.9754298611324,116.330961782478,39.9754298611324,TRUE
4,116.330164496791,39.9751420905999,116.330164496791,39.9751420905999,TRUE
5,116.330955287934,39.9754929478667,116.330955287934,39.9754929478667,TRUE
6,116.330155140096,39.9751267058518,116.330155140096,39.9751267058518,TRUE
7,116.333642140827,39.9755150374228,116.333642140827,39.9755150374228,TRUE
8,116.333379630942,39.9752850114324,116.333379630942,39.9752850114324,TRUE
9,116.329844646827,39.975269103284,116.329844646827,39.975269103284,TRUE
10,116.330611199802,39.9754656428707,116.330611199802,39.9754656428707,TRUE
11,116.333498487124,39.9751918171672,116.333498487124,39.9751918171672,TRUE
12,116.33341985186,39.9755359447346,116.33341985186,39.9755359447346,TRUE
