0,-337561.162131,4354571.31861
1,-357046.92047,4361618.61668
2,-357469.753347,4362015.8653
3,-358344.031394,4362209.32221
4,-359142.680263,4363240.28426
5,-358730.098663,4363207.59821
6,-358751.04843,4363343.67242
7,-358747.247761,4363364.668
8,-360054.985032,4363826.08065
9,-350985.161772,4365199.55377
10,-342537.276141,4379810.15893
11,-275727.675753,4373531.84103
12,-275506.55902,4373541.96289
13,-384186.123052,4394921.43828
14,-264789.710334,4382343.40009
15,-341633.005358,4390367.00561
16,-265254.590704,4383377.79352
17,-265774.654153,4384514.78031
18,-266085.069856,4385234.47004
19,-266560.399971,4386251.52735
20,-267388.752268,4388099.76221
21,-267813.152216,4389049.24006
22,-268231.618581,4389958.62372
23,-378335.617433,4401886.16421
24,-341801.736631,4398163.62033
25,-341708.207958,4399386.78035
26,-376497.802395,4403852.61027
27,-341588.33774,4400588.70961
28,-375405.620048,4404978.21879
29,-385876.054216,4408417.53256
30,-273401.936811,4397419.72362
31,-315774.466727,4402343.63755
32,-315769.082996,4402347.4584
33,-275739.73776,4398709.3187
34,-276219.536044,4398962.66792
35,-278490.047194,4400353.8271
36,-311930.789311,4404550.93091
37,-307173.306578,4405507.8183
38,-284108.981046,4404020.00038
39,-288210.444625,4406692.65966
40,-333684.376801,4413346.33346
41,-292076.89438,4409472.20733
42,-333386.792801,4414012.07324
43,-292567.941484,4409921.57857
44,-358908.753339,4417605.92635
45,-363517.5845,4419525.14366
46,-301360.500291,4415432.06436
47,-298559.173516,4415198.7945
48,-298865.888884,4415415.1702
49,-357560.029404,4422413.20982
50,-300011.011201,4417652.46034
51,-317695.084643,4419631.4073
52,-303018.098617,4419317.63888
53,-297463.582169,4419047.36483
54,-297374.684427,4419125.76792
55,-297398.303756,4419138.23372
56,-297399.561846,4419157.15181
57,-300651.162114,4419745.37992
58,-300640.3575,4419877.35433
59,-300649.692885,4419900.6055
60,-300628.971771,4419918.02103
61,-333042.892063,4423563.38315
62,-295747.274466,4421398.02706
63,-332409.546365,4427798.94826
64,-310564.108483,4425612.31047
65,-339147.832556,4428839.16149
66,-339165.386279,4429375.78222
67,-336713.342434,4429684.31275
68,-329785.235057,4428969.2058
69,-357003.004692,4432247.26002
70,-294419.335838,4425829.66464
71,-361804.293831,4433470.45752
72,-351797.704753,4432487.48278
73,-360439.731645,4433467.34814
74,-315116.358465,4428601.69088
75,-364028.792542,4434033.2343
76,-367456.998089,4435020.94576
77,-300291.59487,4428610.0172
78,-317929.122069,4430495.01203
79,-342696.797632,4433287.91128
80,-295148.045289,4428431.36418
81,-331942.261847,4432604.45532
82,-333061.492202,4432847.27471
83,-333083.324583,4433177.77796
84,-319395.757705,4431986.45382
85,-320315.787503,4432913.09155
86,-291154.501872,4429929.5077
87,-320955.624177,4433532.81192
88,-331849.980702,4435055.80006
89,-302983.879256,4432840.18107
90,-290951.773141,4431732.44524
91,-306522.191924,4433384.52885
92,-351375.998273,4438999.95347
93,-351321.84078,4439071.27446
94,-331606.33465,4436965.37446
95,-323782.198461,4436268.47899
96,-301411.624899,4434244.86621
97,-332246.446032,4437589.44685
98,-331696.907799,4437548.89575
99,-331652.692797,4437579.18911
100,-324647.118133,4436950.28762
101,-332211.57689,4437981.20755
102,-301714.935397,4434756.41102
103,-332134.764723,4438792.29833
104,-332098.388742,4439189.70707
105,-332071.02849,4439477.90178
106,-330960.964482,4439662.74864
107,-351119.808896,4441952.16536
108,-303030.447408,4436790.16095
109,-330247.671731,4440211.52975
110,-329937.602477,4440208.77602
111,-329561.809304,4440169.01705
112,-330801.017301,4440313.63946
113,-330826.931334,4440336.73644
114,-330960.923309,4440495.32709
115,-330008.200594,4440462.37078
116,-330720.989809,4440579.75814
117,-331765.960327,4440708.65046
118,-329969.40346,4440544.31435
119,-349834.252348,4442819.65008
120,-330062.801142,4440706.90553
121,-329854.636891,4440715.42049
122,-304245.774181,4437974.35086
123,-328366.093615,4440682.76637
124,-348153.974916,4442910.59516
125,-339098.751048,4441943.76434
126,-329996.138624,4440971.66301
127,-331751.844901,4441163.88213
128,-331136.310053,4441175.04944
129,-330010.367876,4441066.13497
130,-330079.833946,4441074.06708
131,-330076.963144,4441084.45492
132,-330054.403339,4441083.88053
133,-329932.815183,4441127.15669
134,-331153.028301,4441421.87254
135,-330638.078219,4441438.2242
136,-329834.712295,4441351.6948
137,-364456.234969,4445351.37515
138,-330475.333416,4441620.99187
139,-357800.748351,4444681.45561
140,-330138.571235,4441987.73723
141,-347187.422738,4444083.65648
142,-329683.967439,4442435.72378
143,-329558.988419,4442527.62638
144,-329436.754124,4442696.98263
145,-349891.713268,4445055.33617
146,-325954.368161,4442531.8923
147,-329269.086127,4442961.44792
148,-351378.750551,4445506.91711
149,-328256.960074,4443147.04672
150,-329111.815173,4443324.47216
151,-329120.953319,4443347.60986
152,-346955.235791,4445350.64721
153,-352648.594294,4446393.08829
154,-328936.293482,4443900.43523
155,-306603.666764,4441583.13275
156,-329527.752715,4444105.23625
157,-328902.031958,4444084.8146
158,-328886.691664,4444533.48254
159,-329028.075027,4444588.85186
160,-353403.739122,4447459.54015
161,-331350.421764,4445207.73785
162,-307635.848057,4442770.46285
163,-290555.82559,4441293.01751
164,-329364.498953,4445436.8101
165,-327361.176353,4445222.30789
166,-330693.243887,4445850.28474
167,-346286.228425,4447580.02638
168,-328847.798685,4445801.81715
169,-344790.718355,4447644.26766
170,-346754.168291,4447888.12497
171,-331752.543875,4446255.07228
172,-328796.420074,4446206.01669
173,-328792.929344,4446581.44781
174,-329814.548021,4446800.87868
