0;137301,148910,167103,172698,257265
0;117749,164474,233920,237379,240765,262639
0;137301,148910,167103,205841,257265
0;117749,233920,237379,240765,262639
0;117749,164474,233920,237379,240765
0;117749,164474,233920,237379,240765,262639
0;137301,167103,172698,209511,257265
0;128713,148910,167103,205841,257265
0;137301,148910,167103,205841,257265
0;137301,167103,172698,209511,257265
0;117749,164474,233920,237379,240765
0;128713,137301,148910,167103,205841,257265
0;117749,164474,233920,237379,240765
0;117749,164474,233920,240765,262639
0;117749,164474,233920,240765,262639
0;137301,148910,167103,172698,205841,257265
0;117749,164474,233920,237379,240765,262639
1;128713,137301,148910,167103,172698,205841,209511,257265
1;118424,128713,148910,167103,205841,257265
1;118424,141765,178975,183539,282683
1;128713,137301,148910,167103,172698,205841,257265
1;128713,148910,167103,205841,257265
1;118424,128713,141765,178975,183539,205841,282683
1;118424,128713,148910,205841,282683
1;118424,128713,148910,205841,257265
1;137301,148910,167103,172698,209511,257265
1;118424,128713,141765,178975,205841,282683
1;118424,141765,178975,205841,282683
1;137301,148910,167103,172698,205841,209511,257265
1;118424,141765,178975,183539,205841,282683
1;118424,128713,141765,205841,282683
1;128713,137301,148910,167103,172698,205841,209511,257265
1;118424,128713,141765,178975,205841,282683
1;118424,128713,137301,148910,167103,205841,257265
1;118424,128713,148910,205841,257265
2;118424,128713,148910,178975,205841,257265,282683
2;118424,128713,137301,148910,167103,178975,205841,257265
2;118424,141765,178975,183539,282683
2;118424,128713,148910,178975,183539,205841,257265,282683
2;118424,128713,148910,167103,178975,205841,257265
2;118424,141765,162522,178975,183539,282683
2;118424,128713,141765,148910,178975,183539,205841,257265,282683
2;118424,128713,148910,178975,205841,257265,282683
2;118424,128713,137301,148910,167103,178975,205841,257265,282683
2;118424,128713,148910,178975,205841,282683
2;118424,128713,141765,148910,178975,183539,205841,282683
2;118424,128713,148910,205841,257265,282683
2;118424,128713,137301,148910,167103,178975,205841,257265,282683
2;118424,128713,148910,167103,178975,205841,257265,282683
2;118424,128713,141765,148910,178975,205841,282683
2;141765,162522,178975,183539,282683
2;118424,128713,141765,148910,178975,183539,205841,282683
3;118424,128713,137301,148910,167103,178975,205841,257265
3;128713,137301,148910,167103,172698,205841,209511,257265
3;118424,128713,137301,148910,178975,205841,257265,282683
3;137301,167103,172698,209511,257265
3;118424,128713,141765,148910,178975,183539,205841,257265,282683
3;128713,137301,148910,167103,172698,257265
3;137301,148910,167103,172698,257265
3;118424,128713,148910,178975,183539,205841,257265,282683
3;128713,137301,148910,167103,172698,209511,257265
3;137301,148910,167103,172698,209511,257265
3;118424,128713,148910,178975,205841,257265,282683
3;118424,128713,141765,178975,183539,205841,282683
3;118424,128713,137301,148910,167103,205841,257265
3;137301,148910,167103,172698,257265
3;128713,137301,148910,167103,172698,205841,257265
3;118424,128713,137301,148910,167103,178975,205841,257265,282683
4;118424,128713,148910,178975,183539,282683
4;118424,128713,148910,178975,183539,205841,282683
4;128713,137301,148910,205841,257265
4;118424,128713,148910,178975,183539,205841,282683
4;118424,128713,137301,148910,205841,257265
4;118424,128713,141765,178975,183539,205841,282683
4;118424,128713,141765,178975,183539,282683
4;118424,128713,141765,148910,178975,183539,205841,282683
4;128713,137301,148910,167103,205841,257265
4;118424,128713,137301,148910,205841
4;118424,128713,148910,178975,183539,205841,282683
4;118424,128713,148910,178975,205841,257265
4;128713,137301,148910,167103,257265
4;118424,128713,148910,178975,205841
4;118424,128713,137301,148910,205841,257265
4;118424,128713,148910,178975,183539,205841
4;118424,128713,148910,178975,183539
4;118424,128713,137301,148910,178975,205841,257265
5;141765,162522,178975,183539,282683
5;142643,186487,206251,225942,242803
5;149493,167525,190034,206251,260952
5;142643,149493,186487,206251,242803
5;142643,149493,186487,206251,242803
5;141765,162522,178975,183539,282683
5;118424,141765,162522,178975,183539,282683
5;141765,162522,178975,183539,282683
5;118424,141765,178975,183539,282683
