"","V1","V2","V3","V4","V5"
"1",5421361,54.213612,0.8,0.8,480000007.152557
"2",6168708,61.68708,0.6,0.6,360000014.305115
"3",6255209,62.55209,0.4,0.4,240000021.457672
"4",6241022,62.410221,0.2,0.2,120000019.669533
"5",5600556,56.005562,0.2,0.2,120000019.669533
"6",5923488,59.234879,0.2,0.2,120000019.669533
"7",6010068,60.100681,0.2,0.2,120000019.669533
"8",5673164,56.73164,0.2,0.2,120000019.669533
"9",4920308,49.203079,0.4,0.4,240000021.457672
"10",5843684,58.43684,0.2,0.2,120000019.669533
"11",5941532,59.415321,0.2,0.2,120000019.669533
"12",5943908,59.439079,0.2,0.2,120000019.669533
"13",5960512,59.605122,0.2,0.2,120000019.669533
"14",5570744,55.707439,0.2,0.2,120000019.669533
"15",5655416,56.554161,0.2,0.2,120000019.669533
"16",5959496,59.594959,0.2,0.2,120000019.669533
"17",5390528,53.905281,0.4,0.4,240000021.457672
"18",5182560,51.8256,0.6,0.6,360000014.305115
"19",5363336,53.633362,0.8,0.8,480000007.152557
"20",5467248,54.672482,0.6,0.6,360000014.305115
"21",5598088,55.980881,0.4,0.4,240000021.457672
"22",5385464,53.854641,0.6,0.6,360000014.305115
"23",5491216,54.912159,0.4,0.4,240000021.457672
"24",5476128,54.76128,0.2,0.2,120000019.669533
"25",5542992,55.42992,0.2,0.2,120000019.669533
"26",5399136,53.99136,0.4,0.4,240000021.457672
"27",5440448,54.40448,0.2,0.2,120000019.669533
"28",5519488,55.194881,0.2,0.2,120000019.669533
"29",5463072,54.630718,0.2,0.2,120000019.669533
"30",5664784,56.647839,0.2,0.2,120000019.669533
"31",5652432,56.524319,0.2,0.2,120000019.669533
"32",5619056,56.190559,0.2,0.2,120000019.669533
"33",5420864,54.208641,0.2,0.2,120000019.669533
"34",5437184,54.371841,0.2,0.2,120000019.669533
"35",5605472,56.054722,0.2,0.2,120000019.669533
"36",5600112,56.001122,0.2,0.2,120000019.669533
"37",5747648,57.476479,0.2,0.2,120000019.669533
"38",5398176,53.981758,0.4,0.4,240000021.457672
"39",5474592,54.745918,0.2,0.2,120000019.669533
"40",5478304,54.783039,0.2,0.2,120000019.669533
"41",5574176,55.74176,0.2,0.2,120000019.669533
"42",5652144,56.521439,0.2,0.2,120000019.669533
"43",5120704,51.207039,0.4,0.4,240000021.457672
"44",5300448,53.004478,0.6,0.6,360000014.305115
"45",5420624,54.206242,0.4,0.4,240000021.457672
"46",5336336,53.363361,0.6,0.6,360000014.305115
"47",5482688,54.826881,0.4,0.4,240000021.457672
"48",5452144,54.521439,0.2,0.2,120000019.669533
"49",5505712,55.057121,0.2,0.2,120000019.669533
"50",5604192,56.04192,0.2,0.2,120000019.669533
"51",5379648,53.796478,0.4,0.4,240000021.457672
"52",5417152,54.17152,0.2,0.2,120000019.669533
"53",5431200,54.312,0.2,0.2,120000019.669533
"54",5495104,54.951038,0.2,0.2,120000019.669533
"55",5411552,54.11552,0.2,0.2,120000019.669533
"56",5250080,52.500801,0.4,0.4,240000021.457672
"57",5431456,54.31456,0.2,0.2,120000019.669533
"58",5471104,54.71104,0.2,0.2,120000019.669533
"59",5668960,56.689602,0.2,0.2,120000019.669533
"60",5758976,57.58976,0.2,0.2,120000019.669533
"61",5462080,54.6208,0.2,0.2,120000019.669533
"62",5437792,54.377918,0.2,0.2,120000019.669533
"63",5529216,55.29216,0.2,0.2,120000019.669533
"64",5474016,54.740162,0.2,0.2,120000019.669533
"65",5660480,56.604801,0.2,0.2,120000019.669533
"66",5547968,55.479679,0.2,0.2,120000019.669533
"67",5391136,53.911362,0.4,0.4,240000021.457672
"68",5458400,54.584,0.2,0.2,120000019.669533
"69",5464608,54.64608,0.2,0.2,120000019.669533
"70",5489440,54.894402,0.2,0.2,120000019.669533
