"","V1","V2","V3","V4","V5"
"92",5251904,52.519039,1,1,6e+08
"93",5308288,53.082878,1,1,6e+08
"94",5260032,52.600319,1,1,6e+08
"95",5400032,54.00032,1,1,6e+08
"96",5459136,54.591358,1,1,6e+08
"97",5380000,53.799999,1,1,6e+08
"98",5494272,54.942719,1,1,6e+08
"99",5559488,55.594879,1,1,6e+08
"100",5347200,53.472,1,1,6e+08
"101",5301504,53.015041,1,1,6e+08
"102",5404288,54.042881,1,1,6e+08
"103",5437632,54.37632,1,1,6e+08
"104",5354944,53.549438,1,1,6e+08
"105",5366336,53.663361,1,1,6e+08
"106",5485120,54.8512,1,1,6e+08
"107",5486592,54.865921,1,1,6e+08
"108",5406592,54.065922,1,1,6e+08
"109",5522432,55.224319,1,1,6e+08
"110",5430144,54.301441,1,1,6e+08
"111",5461056,54.610561,1,1,6e+08
"112",5278464,52.784641,1,1,6e+08
"113",5371264,53.712639,1,1,6e+08
"114",5516864,55.16864,1,1,6e+08
"115",5411136,54.111359,1,1,6e+08
"116",5304576,53.045761,1,1,6e+08
"117",5329792,53.29792,1,1,6e+08
"118",5692864,56.928638,1,1,6e+08
"119",5498688,54.986881,1,1,6e+08
"120",5260864,52.608639,1,1,6e+08
"121",5319360,53.1936,1,1,6e+08
"122",5288960,52.889599,1,1,6e+08
"123",5272576,52.725761,1,1,6e+08
"124",5423552,54.235519,1,1,6e+08
"125",5359680,53.596802,1,1,6e+08
"126",5482560,54.8256,1,1,6e+08
"127",5330880,53.3088,1,1,6e+08
"128",5285568,52.855679,1,1,6e+08
"129",5368768,53.687679,1,1,6e+08
"130",5437760,54.377602,1,1,6e+08
"131",5349504,53.495041,1,1,6e+08
"132",5366080,53.660801,1,1,6e+08
"133",5373056,53.73056,1,1,6e+08
"134",5263936,52.639359,1,1,6e+08
"135",5353664,53.53664,1,1,6e+08
"136",5427072,54.270721,1,1,6e+08
"137",5463168,54.63168,1,1,6e+08
"138",5417024,54.170238,1,1,6e+08
"139",5278080,52.7808,1,1,6e+08
"140",5404032,54.040321,1,1,6e+08
"141",5381312,53.813122,1,1,6e+08
"142",5427840,54.2784,1,1,6e+08
"143",5412224,54.122238,1,1,6e+08
"144",5510336,55.103359,1,1,6e+08
"145",5277632,52.776321,1,1,6e+08
"146",5268800,52.688,1,1,6e+08
"147",5417408,54.17408,1,1,6e+08
"148",5388608,53.886082,1,1,6e+08
"149",5341888,53.41888,1,1,6e+08
"150",5279936,52.799358,1,1,6e+08
"151",5288960,52.889599,1,1,6e+08
"152",5429568,54.295681,1,1,6e+08
"153",5395392,53.953918,1,1,6e+08
"154",5194240,51.942402,1,1,6e+08
"155",5343168,53.431679,1,1,6e+08
"156",5253312,52.533119,1,1,6e+08
"157",5362368,53.62368,1,1,6e+08
"158",5402176,54.021759,1,1,6e+08
"159",5450368,54.503681,1,1,6e+08
"160",5430080,54.3008,1,1,6e+08
"161",5369536,53.695358,1,1,6e+08
"162",5388928,53.889278,1,1,6e+08
"163",5468288,54.68288,1,1,6e+08
"164",5353408,53.534081,1,1,6e+08
"165",5442432,54.42432,1,1,6e+08
"166",5512384,55.12384,1,1,6e+08
"167",5344448,53.444481,1,1,6e+08
"168",5368960,53.689602,1,1,6e+08
"169",5330176,53.301762,1,1,6e+08
"170",5229504,52.29504,1,1,6e+08
"171",5357376,53.573761,1,1,6e+08
"172",5484928,54.849281,1,1,6e+08
"173",5159872,51.598721,1,1,6e+08
"174",5255296,52.552959,1,1,6e+08
"175",5281408,52.814079,1,1,6e+08
"176",5364160,53.641602,1,1,6e+08
"177",5379136,53.791359,1,1,6e+08
"178",5385728,53.857281,1,1,6e+08
"179",5272704,52.727039,1,1,6e+08
"180",5373888,53.73888,1,1,6e+08
"181",5307840,53.0784,1,1,6e+08
"182",5272640,52.726398,1,1,6e+08
"183",5299008,52.990082,1,1,6e+08
"184",5276032,52.760319,1,1,6e+08
"185",5343360,53.433601,1,1,6e+08
"186",5272704,52.727039,1,1,6e+08
"187",5434752,54.347519,1,1,6e+08
"188",5459584,54.59584,1,1,6e+08
"189",5239872,52.39872,1,1,6e+08
"190",5327808,53.27808,1,1,6e+08
"191",5327744,53.277439,1,1,6e+08
"192",5320320,53.203201,1,1,6e+08
"193",5405888,54.05888,1,1,6e+08
"194",5254016,52.540161,1,1,6e+08
"195",5375552,53.75552,1,1,6e+08
"196",5418688,54.186878,1,1,6e+08
"197",5248768,52.487679,1,1,6e+08
"198",5342464,53.424641,1,1,6e+08
"199",5430016,54.300159,1,1,6e+08
"200",5243264,52.43264,1,1,6e+08
"201",5281792,52.817921,1,1,6e+08
"202",5345920,53.459202,1,1,6e+08
"203",5425792,54.257919,1,1,6e+08
"204",5301888,53.018879,1,1,6e+08
"205",5375744,53.757439,1,1,6e+08
"206",5481600,54.816002,1,1,6e+08
"207",5233152,52.33152,1,1,6e+08
"208",5393408,53.934078,1,1,6e+08
"209",5239040,52.3904,1,1,6e+08
"210",5384576,53.84576,1,1,6e+08
"211",5474048,54.740479,1,1,6e+08
"212",5344384,53.44384,1,1,6e+08
"213",5438976,54.389759,1,1,6e+08
"214",5443712,54.437119,1,1,6e+08
"215",5358080,53.580799,1,1,6e+08
"216",5271296,52.712959,1,1,6e+08
"217",5422592,54.225922,1,1,6e+08
"218",5420032,54.200321,1,1,6e+08
"219",5383680,53.8368,1,1,6e+08
"220",5425920,54.259201,1,1,6e+08
"221",5380864,53.80864,1,1,6e+08
"222",5465856,54.658562,1,1,6e+08
"223",5601280,56.012798,1,1,6e+08
"224",5270784,52.70784,1,1,6e+08
"225",5272832,52.728321,1,1,6e+08
"226",5317632,53.176319,1,1,6e+08
"227",5071104,50.71104,1,1,6e+08
"228",5266048,52.66048,1,1,6e+08
"229",5297536,52.975361,1,1,6e+08
"230",5274752,52.74752,1,1,6e+08
"231",5305216,53.052158,1,1,6e+08
"232",5310080,53.1008,1,1,6e+08
"233",5210496,52.104961,1,1,6e+08
"234",5464832,54.648319,1,1,6e+08
"235",5300352,53.003521,1,1,6e+08
"236",5314432,53.144321,1,1,6e+08
"237",5350784,53.507839,1,1,6e+08
"238",5486464,54.864639,1,1,6e+08
"239",5379072,53.790722,1,1,6e+08
"240",5429888,54.298882,1,1,6e+08
"241",5243008,52.43008,1,1,6e+08
"242",5342720,53.4272,1,1,6e+08
"243",5378816,53.788158,1,1,6e+08
"244",5485184,54.851841,1,1,6e+08
"245",5486080,54.860802,1,1,6e+08
"246",5465728,54.65728,1,1,6e+08
"247",5370752,53.70752,1,1,6e+08
"248",5354496,53.54496,1,1,6e+08
"249",5281408,52.814079,1,1,6e+08
"250",5347968,53.479679,1,1,6e+08
"251",5269248,52.692478,1,1,6e+08
"252",5304704,53.047039,1,1,6e+08
"253",5305088,53.05088,1,1,6e+08
"254",5288064,52.880638,1,1,6e+08
"255",5252864,52.528641,1,1,6e+08
"256",5322240,53.222401,1,1,6e+08
"257",5275648,52.756481,1,1,6e+08
"258",5333760,53.337601,1,1,6e+08
"259",5328384,53.28384,1,1,6e+08
"260",5455104,54.551041,1,1,6e+08
"261",5326208,53.262081,1,1,6e+08
"262",5365760,53.6576,1,1,6e+08
"263",5392768,53.927681,1,1,6e+08
"264",5335552,53.355518,1,1,6e+08
"265",5392128,53.92128,1,1,6e+08
"266",5427712,54.277119,1,1,6e+08
"267",5398400,53.984001,1,1,6e+08
"268",5436928,54.369282,1,1,6e+08
"269",5389312,53.89312,1,1,6e+08
"270",5251200,52.512001,1,1,6e+08
"271",5385216,53.852161,1,1,6e+08
"272",5440256,54.402561,1,1,6e+08
"273",5440000,54.400002,1,1,6e+08
"274",5244672,52.44672,1,1,6e+08
"275",5341824,53.41824,1,1,6e+08
"276",5298816,52.988159,1,1,6e+08
"277",5419520,54.195202,1,1,6e+08
"278",5242368,52.423679,1,1,6e+08
"279",5322112,53.221119,1,1,6e+08
"280",5475456,54.754559,1,1,6e+08
"281",5241856,52.41856,1,1,6e+08
"282",5275776,52.757759,1,1,6e+08
"283",5366272,53.66272,1,1,6e+08
"284",5451904,54.519039,1,1,6e+08
"285",5316864,53.16864,1,1,6e+08
"286",5215488,52.154881,1,1,6e+08
"287",5336832,53.36832,1,1,6e+08
"288",5425152,54.251518,1,1,6e+08
"289",5057664,50.576641,1,1,6e+08
"290",5306112,53.061119,1,1,6e+08
"291",5304064,53.040642,1,1,6e+08
"292",5446784,54.467838,1,1,6e+08
"293",5400192,54.001919,1,1,6e+08
"294",5205504,52.055038,1,1,6e+08
"295",5275904,52.759041,1,1,6e+08
"296",5301120,53.0112,1,1,6e+08
"297",5219328,52.193279,1,1,6e+08
"298",5471104,54.71104,1,1,6e+08
"299",5251968,52.51968,1,1,6e+08
"300",5433728,54.33728,1,1,6e+08
"301",5268096,52.680962,1,1,6e+08
"302",5427968,54.279678,1,1,6e+08
"303",5393024,53.930241,1,1,6e+08
"304",5413632,54.136318,1,1,6e+08
"305",5225216,52.252159,1,1,6e+08
"306",5349248,53.492481,1,1,6e+08
"307",5262464,52.624641,1,1,6e+08
"308",5238528,52.385281,1,1,6e+08
"309",5345408,53.454079,1,1,6e+08
"310",5304064,53.040642,1,1,6e+08
"311",5244160,52.441601,1,1,6e+08
"312",5318784,53.18784,1,1,6e+08
"313",5359616,53.596161,1,1,6e+08
"314",5444864,54.448639,1,1,6e+08
"315",5245312,52.453121,1,1,6e+08
"316",5341824,53.41824,1,1,6e+08
"317",5459712,54.597118,1,1,6e+08
"318",5225344,52.253441,1,1,6e+08
"319",5327360,53.273602,1,1,6e+08
"320",5390336,53.903358,1,1,6e+08
"321",5444480,54.444801,1,1,6e+08
"322",5441536,54.415359,1,1,6e+08
"323",5305728,53.057281,1,1,6e+08
"324",5250048,52.500481,1,1,6e+08
"325",5374464,53.74464,1,1,6e+08
"326",5398912,53.98912,1,1,6e+08
"327",5329664,53.296638,1,1,6e+08
"328",5221120,52.211201,1,1,6e+08
"329",5260160,52.601601,1,1,6e+08
"330",5206144,52.06144,1,1,6e+08
"331",5231232,52.312321,1,1,6e+08
"332",5276672,52.76672,1,1,6e+08
"333",5310592,53.105919,1,1,6e+08
"334",5389056,53.89056,1,1,6e+08
"335",5236096,52.360958,1,1,6e+08
"336",5365248,53.652481,1,1,6e+08
"337",5304192,53.04192,1,1,6e+08
"338",5347712,53.477119,1,1,6e+08
"339",5345920,53.459202,1,1,6e+08
"340",5399424,53.99424,1,1,6e+08
"341",5324288,53.242882,1,1,6e+08
"342",5367424,53.67424,1,1,6e+08
"343",5494656,54.94656,1,1,6e+08
"344",5374208,53.742081,1,1,6e+08
"345",5423360,54.233601,1,1,6e+08
"346",5227648,52.276482,1,1,6e+08
"347",5356288,53.562881,1,1,6e+08
"348",5361792,53.61792,1,1,6e+08
"349",5231616,52.316158,1,1,6e+08
"350",5319424,53.194241,1,1,6e+08
"351",5315584,53.155842,1,1,6e+08
"352",5309440,53.094398,1,1,6e+08
"353",5224192,52.24192,1,1,6e+08
"354",5240832,52.408321,1,1,6e+08
"355",5430016,54.300159,1,1,6e+08
"356",5240192,52.40192,1,1,6e+08
"357",5257984,52.579842,1,1,6e+08
"358",5287040,52.870399,1,1,6e+08
"359",5164672,51.646721,1,1,6e+08
"360",5321728,53.217281,1,1,6e+08
"361",5224064,52.240639,1,1,6e+08
"362",5301888,53.018879,1,1,6e+08
"363",5294464,52.944641,1,1,6e+08
"364",5247104,52.471039,1,1,6e+08
"365",5297152,52.971519,1,1,6e+08
"366",5318912,53.189121,1,1,6e+08
