"","V1","V2","V3","V4","V5"
"1",5447808.5,54.478085,1,1,6e+08
"2",6199994.5,61.999947,1,1,6e+08
"3",6286923,62.869228,1,1,6e+08
"4",6273448,62.734482,1,1,6e+08
"5",5631100,56.311001,1,1,6e+08
"6",5956370,59.563702,1,1,6e+08
"7",6043688,60.436878,1,1,6e+08
"8",5705304,57.05304,1,1,6e+08
"9",4946136,49.461361,1,1,6e+08
"10",5876524,58.76524,1,1,6e+08
"11",5975080,59.750801,1,1,6e+08
"12",5977512,59.77512,1,1,6e+08
"13",5994824,59.948238,1,1,6e+08
"14",5601656,56.01656,1,1,6e+08
"15",5686240,56.8624,1,1,6e+08
"16",5993784,59.93784,1,1,6e+08
"17",5418712,54.187119,1,1,6e+08
"18",5208568,52.085678,1,1,6e+08
"19",5390720,53.9072,1,1,6e+08
"20",5495640,54.956402,1,1,6e+08
"21",5627040,56.270401,1,1,6e+08
"22",5412472,54.124722,1,1,6e+08
"23",5519200,55.192001,1,1,6e+08
"24",5504360,55.043598,1,1,6e+08
"25",5571664,55.71664,1,1,6e+08
"26",5426000,54.259998,1,1,6e+08
"27",5467600,54.675999,1,1,6e+08
"28",5547424,55.474239,1,1,6e+08
"29",5490992,54.90992,1,1,6e+08
"30",5694304,56.943039,1,1,6e+08
"31",5681872,56.818722,1,1,6e+08
"32",5648096,56.480961,1,1,6e+08
"33",5447840,54.478401,1,1,6e+08
"34",5464400,54.644001,1,1,6e+08
"35",5633904,56.339039,1,1,6e+08
"36",5629072,56.290722,1,1,6e+08
"37",5777520,57.7752,1,1,6e+08
"38",5424864,54.248638,1,1,6e+08
"39",5501968,55.01968,1,1,6e+08
"40",5506480,55.0648,1,1,6e+08
"41",5604960,56.049599,1,1,6e+08
"42",5683616,56.836159,1,1,6e+08
"43",5146752,51.467522,1,1,6e+08
"44",5326640,53.266399,1,1,6e+08
"45",5447488,54.47488,1,1,6e+08
"46",5363264,53.632641,1,1,6e+08
"47",5510592,55.105919,1,1,6e+08
"48",5479920,54.799198,1,1,6e+08
"49",5533824,55.338242,1,1,6e+08
"50",5632544,56.325439,1,1,6e+08
"51",5406240,54.062401,1,1,6e+08
"52",5444640,54.4464,1,1,6e+08
"53",5459200,54.591999,1,1,6e+08
"54",5524992,55.24992,1,1,6e+08
"55",5439296,54.39296,1,1,6e+08
"56",5275840,52.7584,1,1,6e+08
"57",5458752,54.587521,1,1,6e+08
"58",5498976,54.989761,1,1,6e+08
"59",5698368,56.983681,1,1,6e+08
"60",5788960,57.889599,1,1,6e+08
"61",5489216,54.892159,1,1,6e+08
"62",5464800,54.647999,1,1,6e+08
"63",5557344,55.573441,1,1,6e+08
"64",5501856,55.018559,1,1,6e+08
"65",5689760,56.897598,1,1,6e+08
"66",5575872,55.75872,1,1,6e+08
"67",5417664,54.17664,1,1,6e+08
"68",5485408,54.85408,1,1,6e+08
"69",5492256,54.922562,1,1,6e+08
"70",5517216,55.172161,1,1,6e+08
"71",5574688,55.74688,1,1,6e+08
"72",5688608,56.886082,1,1,6e+08
"73",5721248,57.212479,1,1,6e+08
"74",5516384,55.163841,1,1,6e+08
"75",5473376,54.733761,1,1,6e+08
"76",5309440,53.094398,1,1,6e+08
"77",5479648,54.796478,1,1,6e+08
"78",5603424,56.034241,1,1,6e+08
"79",5540064,55.400639,1,1,6e+08
"80",5495840,54.958401,1,1,6e+08
"81",5349536,53.495361,1,1,6e+08
"82",5309184,53.091839,1,1,6e+08
"83",5412160,54.121601,1,1,6e+08
"84",5488608,54.886082,1,1,6e+08
"85",5439104,54.391041,1,1,6e+08
"86",5770784,57.70784,1,1,6e+08
"87",5548960,55.489601,1,1,6e+08
"88",5345952,53.459518,1,1,6e+08
"89",5460032,54.600319,1,1,6e+08
"90",5415456,54.15456,1,1,6e+08
"91",5461056,54.610561,1,1,6e+08
