PBFE,1.0,8M,72551374,110.991
PBFE,2.0,8M,144053304,129.411
PBFE,3.0,8M,214894570,154.375
PBFE,4.0,8M,375341132,195.311
PBFE,5.0,8M,504743946,233.823
PBFE,1.0,10M,113386218,155.568
PBFE,2.0,10M,225121794,169.538
PBFE,3.0,10M,335826400,182.527
PBFE,4.0,10M,586623300,252.871
PBFE,5.0,10M,788886082,349.808
PBFE,1.0,12M,163333498,180.266
PBFE,2.0,12M,324281116,195.126
PBFE,3.0,12M,483744068,254.031
PBFE,4.0,12M,844953516,371.17
PBFE,5.0,12M,1136279524,406.807
PBFE,1.0,14M,222287480,185.037
PBFE,2.0,14M,441373662,248.712
PBFE,3.0,14M,658420116,309.476
PBFE,4.0,14M,1150107378,433.893
PBFE,5.0,14M,1546682038,527.121
PBFE,1.0,16M,290546758,214.811
PBFE,2.0,16M,576859090,306.45
PBFE,3.0,16M,860471880,384.465
PBFE,4.0,16M,1502905828,521.246
PBFE,5.0,16M,2021139056,671.319
