PBFE,1.0,20M,453713202,3252.285,0
PBFE,1.0,30M,1020396330,5669.626,0
PBFE,1.0,40M,1815075418,9131.59,0
PBFE,1.0,50M,2835428192,14563.56,0
PBFE,1.0,60M,4081790328,19942.271,0
PBFE,1.0,70M,5557611934,28602.897,0
PBFE,1.0,20M,453713202,125.105,1
PBFE,1.0,30M,1020396330,1055.758,1
PBFE,1.0,40M,1815075418,2406.355,1
PBFE,1.0,50M,2835428192,1278.411,1
PBFE,1.0,60M,4081790328,2126.974,1
PBFE,1.0,70M,5557611934,6422.207,1
PBFE,1.0,20M,453713202,133.214,2
PBFE,1.0,30M,1020396330,775.645,2
PBFE,1.0,40M,1815075418,2891.679,2
PBFE,1.0,50M,2835428192,1227.725,2
PBFE,1.0,60M,4081790328,1740.12,2
PBFE,1.0,70M,5557611934,4991.338,2
PBFE,1.0,20M,453713202,127.896,3
PBFE,1.0,30M,1020396330,853.404,3
PBFE,1.0,40M,1815075418,3179.786,3
PBFE,1.0,50M,2835428192,1530.931,3
PBFE,1.0,60M,4081790328,2518.481,3
PBFE,1.0,70M,5557611934,4492.094,3
PBFE,1.0,20M,453713202,317.219,4
PBFE,1.0,30M,1020396330,1186.663,4
PBFE,1.0,40M,1815075418,3213.556,4
PBFE,1.0,50M,2835428192,1259.438,4
PBFE,1.0,60M,4081790328,2430.938,4
PBFE,1.0,70M,5557611934,4463.58,4

